date,Arts_BR
2018-01-07,56
2018-01-14,58
2018-01-21,62
2018-01-28,67
2018-02-04,70
2018-02-11,64
2018-02-18,90
2018-02-25,95
2018-03-04,98
2018-03-11,95
2018-03-18,92
2018-03-25,82
2018-04-01,98
2018-04-08,98
2018-04-15,100
2018-04-22,96
2018-04-29,82
2018-05-06,92
2018-05-13,92
2018-05-20,90
2018-05-27,71
2018-06-03,91
2018-06-10,88
2018-06-17,81
2018-06-24,72
2018-07-01,69
2018-07-08,71
2018-07-15,68
2018-07-22,69
2018-07-29,77
2018-08-05,82
2018-08-12,82
2018-08-19,91
2018-08-26,91
2018-09-02,82
2018-09-09,94
2018-09-16,93
2018-09-23,99
2018-09-30,83
2018-10-07,68
2018-10-14,81
2018-10-21,83
2018-10-28,80
2018-11-04,87
2018-11-11,78
2018-11-18,86
2018-11-25,85
2018-12-02,79
2018-12-09,68
2018-12-16,52
2018-12-23,41
2018-12-30,44
2019-01-06,52
2019-01-13,60
2019-01-20,61
2019-01-27,55
2019-02-03,63
2019-02-10,71
2019-02-17,78
2019-02-24,74
2019-03-03,61
2019-03-10,78
2019-03-17,84
2019-03-24,87
2019-03-31,99
2019-04-07,94
2019-04-14,78
2019-04-21,88
2019-04-28,83
2019-05-05,87
2019-05-12,85
2019-05-19,91
2019-05-26,86
2019-06-02,93
2019-06-09,86
2019-06-16,72
2019-06-23,75
2019-06-30,69
2019-07-07,65
2019-07-14,62
2019-07-21,63
2019-07-28,70
2019-08-04,75
2019-08-11,84
2019-08-18,86
2019-08-25,89
2019-09-01,85
2019-09-08,90
2019-09-15,94
2019-09-22,90
2019-09-29,84
2019-10-06,76
2019-10-13,73
2019-10-20,82
2019-10-27,96
2019-11-03,81
2019-11-10,80
2019-11-17,88
2019-11-24,80
2019-12-01,73
2019-12-08,61
2019-12-15,56
2019-12-22,40
2019-12-29,40
2020-01-05,51
2020-01-12,56
2020-01-19,58
2020-01-26,59
2020-02-02,67
2020-02-09,82
2020-02-16,79
2020-02-23,66
2020-03-01,88
2020-03-08,88
