date,Arts_NL
2018-01-07,69
2018-01-14,76
2018-01-21,66
2018-01-28,75
2018-02-04,72
2018-02-11,69
2018-02-18,66
2018-02-25,62
2018-03-04,71
2018-03-11,72
2018-03-18,70
2018-03-25,62
2018-04-01,63
2018-04-08,66
2018-04-15,68
2018-04-22,56
2018-04-29,61
2018-05-06,64
2018-05-13,64
2018-05-20,61
2018-05-27,70
2018-06-03,62
2018-06-10,64
2018-06-17,66
2018-06-24,55
2018-07-01,57
2018-07-08,58
2018-07-15,58
2018-07-22,51
2018-07-29,56
2018-08-05,55
2018-08-12,57
2018-08-19,57
2018-08-26,54
2018-09-02,72
2018-09-09,73
2018-09-16,73
2018-09-23,78
2018-09-30,72
2018-10-07,73
2018-10-14,75
2018-10-21,71
2018-10-28,69
2018-11-04,75
2018-11-11,66
2018-11-18,69
2018-11-25,70
2018-12-02,67
2018-12-09,68
2018-12-16,60
2018-12-23,56
2018-12-30,61
2019-01-06,67
2019-01-13,73
2019-01-20,73
2019-01-27,88
2019-02-03,90
2019-02-10,92
2019-02-17,80
2019-02-24,77
2019-03-03,89
2019-03-10,100
2019-03-17,79
2019-03-24,81
2019-03-31,62
2019-04-07,71
2019-04-14,65
2019-04-21,59
2019-04-28,60
2019-05-05,73
2019-05-12,66
2019-05-19,66
2019-05-26,63
2019-06-02,57
2019-06-09,71
2019-06-16,66
2019-06-23,54
2019-06-30,59
2019-07-07,66
2019-07-14,59
2019-07-21,44
2019-07-28,48
2019-08-04,55
2019-08-11,59
2019-08-18,61
2019-08-25,64
2019-09-01,63
2019-09-08,71
2019-09-15,70
2019-09-22,67
2019-09-29,69
2019-10-06,78
2019-10-13,65
2019-10-20,69
2019-10-27,64
2019-11-03,74
2019-11-10,66
2019-11-17,73
2019-11-24,69
2019-12-01,63
2019-12-08,77
2019-12-15,61
2019-12-22,50
2019-12-29,54
2020-01-05,72
2020-01-12,78
2020-01-19,64
2020-01-26,60
2020-02-02,73
2020-02-09,75
2020-02-16,63
2020-02-23,62
2020-03-01,70
2020-03-08,68
