date,Performing_Art_ZA
2018-01-07,69
2018-01-14,23
2018-01-21,0
2018-01-28,22
2018-02-04,0
2018-02-11,0
2018-02-18,22
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,23
2018-03-25,25
2018-04-01,0
2018-04-08,0
2018-04-15,45
2018-04-22,47
2018-04-29,23
2018-05-06,23
2018-05-13,23
2018-05-20,47
2018-05-27,23
2018-06-03,24
2018-06-10,23
2018-06-17,95
2018-06-24,0
2018-07-01,71
2018-07-08,23
2018-07-15,24
2018-07-22,46
2018-07-29,0
2018-08-05,22
2018-08-12,43
2018-08-19,22
2018-08-26,86
2018-09-02,0
2018-09-09,22
2018-09-16,44
2018-09-23,23
2018-09-30,43
2018-10-07,22
2018-10-14,22
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,22
2018-11-18,43
2018-11-25,45
2018-12-02,21
2018-12-09,47
2018-12-16,0
2018-12-23,0
2018-12-30,51
2019-01-06,22
2019-01-13,0
2019-01-20,21
2019-01-27,21
2019-02-03,42
2019-02-10,0
2019-02-17,21
2019-02-24,84
2019-03-03,42
2019-03-10,84
2019-03-17,0
2019-03-24,22
2019-03-31,21
2019-04-07,22
2019-04-14,46
2019-04-21,46
2019-04-28,22
2019-05-05,21
2019-05-12,43
2019-05-19,0
2019-05-26,21
2019-06-02,20
2019-06-09,22
2019-06-16,46
2019-06-23,22
2019-06-30,0
2019-07-07,42
2019-07-14,21
2019-07-21,21
2019-07-28,82
2019-08-04,41
2019-08-11,59
2019-08-18,100
2019-08-25,40
2019-09-01,19
2019-09-08,0
2019-09-15,40
2019-09-22,0
2019-09-29,19
2019-10-06,38
2019-10-13,0
2019-10-20,0
2019-10-27,38
2019-11-03,38
2019-11-10,38
2019-11-17,39
2019-11-24,19
2019-12-01,59
2019-12-08,42
2019-12-15,22
2019-12-22,0
2019-12-29,23
2020-01-05,57
2020-01-12,36
2020-01-19,56
2020-01-26,56
2020-02-02,19
2020-02-09,18
2020-02-16,18
2020-02-23,37
2020-03-01,35
2020-03-08,18
