date,Game_JP
2018-01-07,86
2018-01-14,83
2018-01-21,83
2018-01-28,86
2018-02-04,79
2018-02-11,82
2018-02-18,85
2018-02-25,81
2018-03-04,84
2018-03-11,86
2018-03-18,88
2018-03-25,88
2018-04-01,89
2018-04-08,79
2018-04-15,81
2018-04-22,80
2018-04-29,89
2018-05-06,80
2018-05-13,82
2018-05-20,79
2018-05-27,79
2018-06-03,79
2018-06-10,81
2018-06-17,78
2018-06-24,76
2018-07-01,76
2018-07-08,77
2018-07-15,82
2018-07-22,79
2018-07-29,86
2018-08-05,83
2018-08-12,90
2018-08-19,86
2018-08-26,84
2018-09-02,81
2018-09-09,83
2018-09-16,84
2018-09-23,83
2018-09-30,79
2018-10-07,83
2018-10-14,81
2018-10-21,78
2018-10-28,81
2018-11-04,79
2018-11-11,80
2018-11-18,84
2018-11-25,79
2018-12-02,82
2018-12-09,82
2018-12-16,82
2018-12-23,86
2018-12-30,96
2019-01-06,81
2019-01-13,79
2019-01-20,79
2019-01-27,16
2019-02-03,6
2019-02-10,7
2019-02-17,5
2019-02-24,11
2019-03-03,6
2019-03-10,6
2019-03-17,6
2019-03-24,6
2019-03-31,72
2019-04-07,79
2019-04-14,82
2019-04-21,79
2019-04-28,92
2019-05-05,78
2019-05-12,78
2019-05-19,77
2019-05-26,80
2019-06-02,79
2019-06-09,76
2019-06-16,73
2019-06-23,76
2019-06-30,78
2019-07-07,76
2019-07-14,79
2019-07-21,78
2019-07-28,78
2019-08-04,78
2019-08-11,89
2019-08-18,80
2019-08-25,79
2019-09-01,77
2019-09-08,79
2019-09-15,78
2019-09-22,80
2019-09-29,77
2019-10-06,74
2019-10-13,79
2019-10-20,81
2019-10-27,76
2019-11-03,77
2019-11-10,75
2019-11-17,76
2019-11-24,77
2019-12-01,78
2019-12-08,80
2019-12-15,80
2019-12-22,83
2019-12-29,100
2020-01-05,86
2020-01-12,86
2020-01-19,83
2020-01-26,80
2020-02-02,80
2020-02-09,81
2020-02-16,75
2020-02-23,83
2020-03-01,90
2020-03-08,89
