date,Crafts_IE
2018-01-07,35
2018-01-14,69
2018-01-21,39
2018-01-28,61
2018-02-04,68
2018-02-11,66
2018-02-18,65
2018-02-25,53
2018-03-04,86
2018-03-11,67
2018-03-18,46
2018-03-25,66
2018-04-01,54
2018-04-08,42
2018-04-15,43
2018-04-22,43
2018-04-29,34
2018-05-06,32
2018-05-13,46
2018-05-20,45
2018-05-27,35
2018-06-03,35
2018-06-10,53
2018-06-17,39
2018-06-24,47
2018-07-01,56
2018-07-08,38
2018-07-15,36
2018-07-22,38
2018-07-29,65
2018-08-05,28
2018-08-12,32
2018-08-19,46
2018-08-26,39
2018-09-02,62
2018-09-09,46
2018-09-16,49
2018-09-23,30
2018-09-30,56
2018-10-07,66
2018-10-14,75
2018-10-21,74
2018-10-28,56
2018-11-04,85
2018-11-11,72
2018-11-18,83
2018-11-25,100
2018-12-02,98
2018-12-09,60
2018-12-16,43
2018-12-23,21
2018-12-30,52
2019-01-06,37
2019-01-13,36
2019-01-20,45
2019-01-27,62
2019-02-03,57
2019-02-10,65
2019-02-17,48
2019-02-24,58
2019-03-03,47
2019-03-10,54
2019-03-17,52
2019-03-24,54
2019-03-31,45
2019-04-07,72
2019-04-14,47
2019-04-21,53
2019-04-28,67
2019-05-05,41
2019-05-12,37
2019-05-19,37
2019-05-26,43
2019-06-02,63
2019-06-09,64
2019-06-16,34
2019-06-23,28
2019-06-30,49
2019-07-07,44
2019-07-14,31
2019-07-21,50
2019-07-28,26
2019-08-04,35
2019-08-11,49
2019-08-18,46
2019-08-25,50
2019-09-01,49
2019-09-08,50
2019-09-15,43
2019-09-22,48
2019-09-29,55
2019-10-06,60
2019-10-13,72
2019-10-20,67
2019-10-27,63
2019-11-03,68
2019-11-10,74
2019-11-17,62
2019-11-24,83
2019-12-01,91
2019-12-08,57
2019-12-15,64
2019-12-22,29
2019-12-29,37
2020-01-05,54
2020-01-12,47
2020-01-19,36
2020-01-26,50
2020-02-02,37
2020-02-09,61
2020-02-16,55
2020-02-23,42
2020-03-01,71
2020-03-08,60
