date,Collecting_BR
2018-01-07,28
2018-01-14,22
2018-01-21,44
2018-01-28,39
2018-02-04,39
2018-02-11,42
2018-02-18,38
2018-02-25,25
2018-03-04,33
2018-03-11,41
2018-03-18,36
2018-03-25,54
2018-04-01,41
2018-04-08,33
2018-04-15,44
2018-04-22,45
2018-04-29,43
2018-05-06,100
2018-05-13,27
2018-05-20,30
2018-05-27,40
2018-06-03,36
2018-06-10,34
2018-06-17,39
2018-06-24,28
2018-07-01,29
2018-07-08,32
2018-07-15,26
2018-07-22,43
2018-07-29,33
2018-08-05,51
2018-08-12,30
2018-08-19,30
2018-08-26,38
2018-09-02,38
2018-09-09,36
2018-09-16,30
2018-09-23,35
2018-09-30,30
2018-10-07,25
2018-10-14,41
2018-10-21,20
2018-10-28,38
2018-11-04,41
2018-11-11,34
2018-11-18,37
2018-11-25,24
2018-12-02,27
2018-12-09,21
2018-12-16,33
2018-12-23,43
2018-12-30,28
2019-01-06,30
2019-01-13,36
2019-01-20,34
2019-01-27,22
2019-02-03,44
2019-02-10,27
2019-02-17,21
2019-02-24,42
2019-03-03,28
2019-03-10,23
2019-03-17,29
2019-03-24,35
2019-03-31,34
2019-04-07,39
2019-04-14,42
2019-04-21,25
2019-04-28,42
2019-05-05,41
2019-05-12,35
2019-05-19,33
2019-05-26,32
2019-06-02,26
2019-06-09,36
2019-06-16,49
2019-06-23,39
2019-06-30,32
2019-07-07,30
2019-07-14,27
2019-07-21,26
2019-07-28,37
2019-08-04,37
2019-08-11,25
2019-08-18,29
2019-08-25,38
2019-09-01,27
2019-09-08,30
2019-09-15,42
2019-09-22,31
2019-09-29,28
2019-10-06,31
2019-10-13,35
2019-10-20,18
2019-10-27,34
2019-11-03,23
2019-11-10,32
2019-11-17,36
2019-11-24,31
2019-12-01,35
2019-12-08,37
2019-12-15,38
2019-12-22,39
2019-12-29,46
2020-01-05,32
2020-01-12,41
2020-01-19,28
2020-01-26,48
2020-02-02,29
2020-02-09,34
2020-02-16,23
2020-02-23,33
2020-03-01,30
2020-03-08,26
