date,Sports_BD
2018-01-07,29
2018-01-14,43
2018-01-21,41
2018-01-28,42
2018-02-04,34
2018-02-11,42
2018-02-18,39
2018-02-25,34
2018-03-04,52
2018-03-11,48
2018-03-18,41
2018-03-25,31
2018-04-01,37
2018-04-08,51
2018-04-15,45
2018-04-22,40
2018-04-29,34
2018-05-06,31
2018-05-13,25
2018-05-20,34
2018-05-27,33
2018-06-03,45
2018-06-10,67
2018-06-17,100
2018-06-24,96
2018-07-01,71
2018-07-08,36
2018-07-15,25
2018-07-22,29
2018-07-29,21
2018-08-05,19
2018-08-12,33
2018-08-19,29
2018-08-26,22
2018-09-02,35
2018-09-09,42
2018-09-16,51
2018-09-23,68
2018-09-30,35
2018-10-07,32
2018-10-14,41
2018-10-21,40
2018-10-28,40
2018-11-04,35
2018-11-11,29
2018-11-18,27
2018-11-25,31
2018-12-02,30
2018-12-09,30
2018-12-16,35
2018-12-23,15
2018-12-30,22
2019-01-06,30
2019-01-13,33
2019-01-20,28
2019-01-27,29
2019-02-03,30
2019-02-10,38
2019-02-17,42
2019-02-24,39
2019-03-03,35
2019-03-10,42
2019-03-17,37
2019-03-24,46
2019-03-31,47
2019-04-07,41
2019-04-14,39
2019-04-21,38
2019-04-28,38
2019-05-05,42
2019-05-12,42
2019-05-19,23
2019-05-26,67
2019-06-02,80
2019-06-09,46
2019-06-16,87
2019-06-23,77
2019-06-30,80
2019-07-07,47
2019-07-14,40
2019-07-21,23
2019-07-28,19
2019-08-04,19
2019-08-11,20
2019-08-18,16
2019-08-25,25
2019-09-01,22
2019-09-08,29
2019-09-15,30
2019-09-22,25
2019-09-29,29
2019-10-06,33
2019-10-13,38
2019-10-20,26
2019-10-27,39
2019-11-03,55
2019-11-10,58
2019-11-17,35
2019-11-24,23
2019-12-01,34
2019-12-08,42
2019-12-15,39
2019-12-22,34
2019-12-29,29
2020-01-05,36
2020-01-12,44
2020-01-19,49
2020-01-26,33
2020-02-02,39
2020-02-09,44
2020-02-16,32
2020-02-23,48
2020-03-01,54
2020-03-08,40
