date,Collecting_CO
2018-01-07,59
2018-01-14,56
2018-01-21,30
2018-01-28,42
2018-02-04,22
2018-02-11,44
2018-02-18,17
2018-02-25,32
2018-03-04,52
2018-03-11,54
2018-03-18,46
2018-03-25,37
2018-04-01,39
2018-04-08,50
2018-04-15,44
2018-04-22,36
2018-04-29,43
2018-05-06,45
2018-05-13,25
2018-05-20,35
2018-05-27,32
2018-06-03,39
2018-06-10,40
2018-06-17,25
2018-06-24,26
2018-07-01,45
2018-07-08,60
2018-07-15,40
2018-07-22,53
2018-07-29,31
2018-08-05,35
2018-08-12,51
2018-08-19,38
2018-08-26,29
2018-09-02,39
2018-09-09,63
2018-09-16,34
2018-09-23,22
2018-09-30,41
2018-10-07,38
2018-10-14,47
2018-10-21,35
2018-10-28,43
2018-11-04,33
2018-11-11,69
2018-11-18,53
2018-11-25,56
2018-12-02,43
2018-12-09,65
2018-12-16,75
2018-12-23,100
2018-12-30,62
2019-01-06,40
2019-01-13,61
2019-01-20,48
2019-01-27,62
2019-02-03,25
2019-02-10,48
2019-02-17,44
2019-02-24,66
2019-03-03,56
2019-03-10,48
2019-03-17,46
2019-03-24,76
2019-03-31,55
2019-04-07,25
2019-04-14,31
2019-04-21,34
2019-04-28,41
2019-05-05,57
2019-05-12,51
2019-05-19,50
2019-05-26,43
2019-06-02,60
2019-06-09,38
2019-06-16,46
2019-06-23,45
2019-06-30,61
2019-07-07,63
2019-07-14,30
2019-07-21,39
2019-07-28,45
2019-08-04,22
2019-08-11,37
2019-08-18,36
2019-08-25,28
2019-09-01,39
2019-09-08,31
2019-09-15,31
2019-09-22,48
2019-09-29,54
2019-10-06,39
2019-10-13,50
2019-10-20,46
2019-10-27,41
2019-11-03,36
2019-11-10,41
2019-11-17,54
2019-11-24,41
2019-12-01,62
2019-12-08,78
2019-12-15,49
2019-12-22,82
2019-12-29,38
2020-01-05,39
2020-01-12,46
2020-01-19,43
2020-01-26,54
2020-02-02,50
2020-02-09,71
2020-02-16,59
2020-02-23,43
2020-03-01,54
2020-03-08,26
