date,Game_TH
2018-01-07,54
2018-01-14,56
2018-01-21,54
2018-01-28,54
2018-02-04,55
2018-02-11,55
2018-02-18,53
2018-02-25,55
2018-03-04,55
2018-03-11,58
2018-03-18,64
2018-03-25,66
2018-04-01,59
2018-04-08,64
2018-04-15,61
2018-04-22,58
2018-04-29,60
2018-05-06,59
2018-05-13,52
2018-05-20,53
2018-05-27,60
2018-06-03,59
2018-06-10,56
2018-06-17,58
2018-06-24,53
2018-07-01,54
2018-07-08,54
2018-07-15,55
2018-07-22,60
2018-07-29,58
2018-08-05,56
2018-08-12,55
2018-08-19,61
2018-08-26,61
2018-09-02,61
2018-09-09,57
2018-09-16,54
2018-09-23,54
2018-09-30,54
2018-10-07,59
2018-10-14,57
2018-10-21,57
2018-10-28,53
2018-11-04,51
2018-11-11,52
2018-11-18,54
2018-11-25,52
2018-12-02,58
2018-12-09,54
2018-12-16,49
2018-12-23,56
2018-12-30,67
2019-01-06,60
2019-01-13,55
2019-01-20,61
2019-01-27,55
2019-02-03,58
2019-02-10,55
2019-02-17,54
2019-02-24,50
2019-03-03,55
2019-03-10,54
2019-03-17,59
2019-03-24,58
2019-03-31,62
2019-04-07,66
2019-04-14,65
2019-04-21,64
2019-04-28,62
2019-05-05,68
2019-05-12,65
2019-05-19,66
2019-05-26,63
2019-06-02,62
2019-06-09,62
2019-06-16,59
2019-06-23,61
2019-06-30,59
2019-07-07,60
2019-07-14,64
2019-07-21,59
2019-07-28,57
2019-08-04,55
2019-08-11,59
2019-08-18,58
2019-08-25,63
2019-09-01,56
2019-09-08,68
2019-09-15,60
2019-09-22,57
2019-09-29,53
2019-10-06,60
2019-10-13,62
2019-10-20,60
2019-10-27,60
2019-11-03,58
2019-11-10,52
2019-11-17,70
2019-11-24,86
2019-12-01,91
2019-12-08,96
2019-12-15,83
2019-12-22,99
2019-12-29,87
2020-01-05,91
2020-01-12,86
2020-01-19,100
2020-01-26,88
2020-02-02,87
2020-02-09,70
2020-02-16,61
2020-02-23,61
2020-03-01,63
2020-03-08,64
