date,Pets_RO
2018-01-07,75
2018-01-14,70
2018-01-21,73
2018-01-28,57
2018-02-04,86
2018-02-11,73
2018-02-18,67
2018-02-25,61
2018-03-04,48
2018-03-11,82
2018-03-18,70
2018-03-25,58
2018-04-01,72
2018-04-08,59
2018-04-15,66
2018-04-22,52
2018-04-29,57
2018-05-06,51
2018-05-13,40
2018-05-20,41
2018-05-27,62
2018-06-03,70
2018-06-10,43
2018-06-17,54
2018-06-24,53
2018-07-01,60
2018-07-08,65
2018-07-15,53
2018-07-22,63
2018-07-29,73
2018-08-05,64
2018-08-12,49
2018-08-19,67
2018-08-26,75
2018-09-02,80
2018-09-09,65
2018-09-16,68
2018-09-23,64
2018-09-30,74
2018-10-07,64
2018-10-14,73
2018-10-21,63
2018-10-28,79
2018-11-04,56
2018-11-11,47
2018-11-18,57
2018-11-25,76
2018-12-02,46
2018-12-09,70
2018-12-16,68
2018-12-23,83
2018-12-30,81
2019-01-06,70
2019-01-13,60
2019-01-20,79
2019-01-27,100
2019-02-03,78
2019-02-10,96
2019-02-17,85
2019-02-24,81
2019-03-03,81
2019-03-10,68
2019-03-17,75
2019-03-24,100
2019-03-31,54
2019-04-07,56
2019-04-14,62
2019-04-21,73
2019-04-28,82
2019-05-05,64
2019-05-12,63
2019-05-19,49
2019-05-26,51
2019-06-02,78
2019-06-09,49
2019-06-16,61
2019-06-23,38
2019-06-30,73
2019-07-07,72
2019-07-14,61
2019-07-21,80
2019-07-28,66
2019-08-04,63
2019-08-11,66
2019-08-18,73
2019-08-25,74
2019-09-01,73
2019-09-08,37
2019-09-15,36
2019-09-22,49
2019-09-29,68
2019-10-06,53
2019-10-13,63
2019-10-20,58
2019-10-27,45
2019-11-03,52
2019-11-10,53
2019-11-17,67
2019-11-24,65
2019-12-01,61
2019-12-08,73
2019-12-15,57
2019-12-22,68
2019-12-29,66
2020-01-05,89
2020-01-12,67
2020-01-19,81
2020-01-26,93
2020-02-02,82
2020-02-09,52
2020-02-16,55
2020-02-23,64
2020-03-01,77
2020-03-08,76
