date,Collecting_AR
2018-01-07,62
2018-01-14,45
2018-01-21,56
2018-01-28,59
2018-02-04,62
2018-02-11,75
2018-02-18,84
2018-02-25,87
2018-03-04,95
2018-03-11,84
2018-03-18,67
2018-03-25,63
2018-04-01,71
2018-04-08,50
2018-04-15,79
2018-04-22,57
2018-04-29,72
2018-05-06,80
2018-05-13,63
2018-05-20,66
2018-05-27,56
2018-06-03,100
2018-06-10,60
2018-06-17,72
2018-06-24,61
2018-07-01,72
2018-07-08,86
2018-07-15,65
2018-07-22,61
2018-07-29,60
2018-08-05,75
2018-08-12,68
2018-08-19,77
2018-08-26,65
2018-09-02,69
2018-09-09,73
2018-09-16,53
2018-09-23,53
2018-09-30,58
2018-10-07,55
2018-10-14,66
2018-10-21,65
2018-10-28,61
2018-11-04,52
2018-11-11,42
2018-11-18,36
2018-11-25,43
2018-12-02,46
2018-12-09,53
2018-12-16,38
2018-12-23,45
2018-12-30,48
2019-01-06,66
2019-01-13,36
2019-01-20,52
2019-01-27,52
2019-02-03,50
2019-02-10,42
2019-02-17,54
2019-02-24,48
2019-03-03,57
2019-03-10,55
2019-03-17,52
2019-03-24,45
2019-03-31,48
2019-04-07,64
2019-04-14,46
2019-04-21,62
2019-04-28,56
2019-05-05,52
2019-05-12,60
2019-05-19,50
2019-05-26,48
2019-06-02,53
2019-06-09,49
2019-06-16,62
2019-06-23,53
2019-06-30,57
2019-07-07,64
2019-07-14,44
2019-07-21,58
2019-07-28,56
2019-08-04,44
2019-08-11,40
2019-08-18,54
2019-08-25,51
2019-09-01,35
2019-09-08,43
2019-09-15,41
2019-09-22,44
2019-09-29,52
2019-10-06,49
2019-10-13,59
2019-10-20,40
2019-10-27,38
2019-11-03,40
2019-11-10,36
2019-11-17,32
2019-11-24,43
2019-12-01,35
2019-12-08,35
2019-12-15,36
2019-12-22,39
2019-12-29,42
2020-01-05,45
2020-01-12,30
2020-01-19,29
2020-01-26,35
2020-02-02,51
2020-02-09,31
2020-02-16,38
2020-02-23,33
2020-03-01,31
2020-03-08,30
