date,Cooking_JP
2018-01-07,72
2018-01-14,65
2018-01-21,77
2018-01-28,67
2018-02-04,69
2018-02-11,72
2018-02-18,63
2018-02-25,60
2018-03-04,70
2018-03-11,65
2018-03-18,61
2018-03-25,62
2018-04-01,62
2018-04-08,78
2018-04-15,71
2018-04-22,77
2018-04-29,77
2018-05-06,75
2018-05-13,66
2018-05-20,71
2018-05-27,64
2018-06-03,67
2018-06-10,74
2018-06-17,64
2018-06-24,60
2018-07-01,52
2018-07-08,56
2018-07-15,59
2018-07-22,53
2018-07-29,58
2018-08-05,53
2018-08-12,56
2018-08-19,61
2018-08-26,64
2018-09-02,62
2018-09-09,67
2018-09-16,68
2018-09-23,72
2018-09-30,69
2018-10-07,69
2018-10-14,74
2018-10-21,70
2018-10-28,68
2018-11-04,72
2018-11-11,63
2018-11-18,65
2018-11-25,69
2018-12-02,74
2018-12-09,72
2018-12-16,70
2018-12-23,64
2018-12-30,67
2019-01-06,70
2019-01-13,73
2019-01-20,71
2019-01-27,45
2019-02-03,39
2019-02-10,40
2019-02-17,43
2019-02-24,40
2019-03-03,39
2019-03-10,45
2019-03-17,44
2019-03-24,40
2019-03-31,74
2019-04-07,78
2019-04-14,91
2019-04-21,74
2019-04-28,80
2019-05-05,80
2019-05-12,76
2019-05-19,74
2019-05-26,67
2019-06-02,72
2019-06-09,68
2019-06-16,70
2019-06-23,72
2019-06-30,63
2019-07-07,65
2019-07-14,62
2019-07-21,62
2019-07-28,61
2019-08-04,57
2019-08-11,61
2019-08-18,68
2019-08-25,69
2019-09-01,67
2019-09-08,66
2019-09-15,71
2019-09-22,73
2019-09-29,74
2019-10-06,72
2019-10-13,71
2019-10-20,77
2019-10-27,75
2019-11-03,80
2019-11-10,80
2019-11-17,78
2019-11-24,81
2019-12-01,87
2019-12-08,86
2019-12-15,85
2019-12-22,77
2019-12-29,87
2020-01-05,82
2020-01-12,84
2020-01-19,81
2020-01-26,76
2020-02-02,85
2020-02-09,100
2020-02-16,83
2020-02-23,74
2020-03-01,77
2020-03-08,79
