date,Arts_AR
2018-01-07,57
2018-01-14,51
2018-01-21,55
2018-01-28,60
2018-02-04,67
2018-02-11,65
2018-02-18,71
2018-02-25,80
2018-03-04,78
2018-03-11,83
2018-03-18,85
2018-03-25,75
2018-04-01,83
2018-04-08,91
2018-04-15,87
2018-04-22,78
2018-04-29,80
2018-05-06,85
2018-05-13,83
2018-05-20,81
2018-05-27,85
2018-06-03,77
2018-06-10,83
2018-06-17,72
2018-06-24,73
2018-07-01,77
2018-07-08,72
2018-07-15,62
2018-07-22,73
2018-07-29,79
2018-08-05,76
2018-08-12,75
2018-08-19,83
2018-08-26,75
2018-09-02,82
2018-09-09,81
2018-09-16,77
2018-09-23,78
2018-09-30,86
2018-10-07,87
2018-10-14,85
2018-10-21,81
2018-10-28,88
2018-11-04,85
2018-11-11,82
2018-11-18,82
2018-11-25,75
2018-12-02,70
2018-12-09,62
2018-12-16,59
2018-12-23,40
2018-12-30,41
2019-01-06,50
2019-01-13,54
2019-01-20,51
2019-01-27,51
2019-02-03,58
2019-02-10,67
2019-02-17,70
2019-02-24,68
2019-03-03,55
2019-03-10,71
2019-03-17,93
2019-03-24,100
2019-03-31,74
2019-04-07,86
2019-04-14,80
2019-04-21,77
2019-04-28,73
2019-05-05,77
2019-05-12,82
2019-05-19,81
2019-05-26,77
2019-06-02,92
2019-06-09,82
2019-06-16,70
2019-06-23,81
2019-06-30,75
2019-07-07,65
2019-07-14,72
2019-07-21,65
2019-07-28,76
2019-08-04,75
2019-08-11,73
2019-08-18,78
2019-08-25,84
2019-09-01,79
2019-09-08,75
2019-09-15,82
2019-09-22,86
2019-09-29,83
2019-10-06,75
2019-10-13,77
2019-10-20,82
2019-10-27,80
2019-11-03,78
2019-11-10,82
2019-11-17,72
2019-11-24,77
2019-12-01,73
2019-12-08,64
2019-12-15,60
2019-12-22,46
2019-12-29,48
2020-01-05,48
2020-01-12,50
2020-01-19,45
2020-01-26,50
2020-02-02,57
2020-02-09,63
2020-02-16,66
2020-02-23,65
2020-03-01,73
2020-03-08,71
