date,Cooking_ID
2018-01-07,45
2018-01-14,48
2018-01-21,50
2018-01-28,49
2018-02-04,49
2018-02-11,50
2018-02-18,49
2018-02-25,49
2018-03-04,50
2018-03-11,47
2018-03-18,49
2018-03-25,47
2018-04-01,46
2018-04-08,45
2018-04-15,49
2018-04-22,46
2018-04-29,44
2018-05-06,43
2018-05-13,69
2018-05-20,69
2018-05-27,66
2018-06-03,52
2018-06-10,67
2018-06-17,42
2018-06-24,44
2018-07-01,46
2018-07-08,46
2018-07-15,45
2018-07-22,49
2018-07-29,49
2018-08-05,48
2018-08-12,51
2018-08-19,98
2018-08-26,59
2018-09-02,54
2018-09-09,53
2018-09-16,51
2018-09-23,47
2018-09-30,46
2018-10-07,47
2018-10-14,50
2018-10-21,48
2018-10-28,50
2018-11-04,49
2018-11-11,55
2018-11-18,51
2018-11-25,52
2018-12-02,55
2018-12-09,49
2018-12-16,51
2018-12-23,53
2018-12-30,53
2019-01-06,51
2019-01-13,53
2019-01-20,54
2019-01-27,52
2019-02-03,54
2019-02-10,53
2019-02-17,51
2019-02-24,49
2019-03-03,53
2019-03-10,51
2019-03-17,52
2019-03-24,56
2019-03-31,52
2019-04-07,52
2019-04-14,49
2019-04-21,50
2019-04-28,48
2019-05-05,84
2019-05-12,66
2019-05-19,61
2019-05-26,56
2019-06-02,70
2019-06-09,48
2019-06-16,48
2019-06-23,50
2019-06-30,51
2019-07-07,47
2019-07-14,52
2019-07-21,51
2019-07-28,48
2019-08-04,61
2019-08-11,100
2019-08-18,54
2019-08-25,50
2019-09-01,53
2019-09-08,48
2019-09-15,51
2019-09-22,50
2019-09-29,51
2019-10-06,48
2019-10-13,50
2019-10-20,47
2019-10-27,50
2019-11-03,52
2019-11-10,47
2019-11-17,50
2019-11-24,48
2019-12-01,48
2019-12-08,46
2019-12-15,50
2019-12-22,53
2019-12-29,53
2020-01-05,50
2020-01-12,54
2020-01-19,53
2020-01-26,50
2020-02-02,54
2020-02-09,50
2020-02-16,53
2020-02-23,51
2020-03-01,49
2020-03-08,49
