date,Pets_SA
2018-01-07,49
2018-01-14,35
2018-01-21,44
2018-01-28,69
2018-02-04,65
2018-02-11,55
2018-02-18,56
2018-02-25,65
2018-03-04,78
2018-03-11,61
2018-03-18,65
2018-03-25,57
2018-04-01,61
2018-04-08,78
2018-04-15,37
2018-04-22,66
2018-04-29,87
2018-05-06,65
2018-05-13,65
2018-05-20,43
2018-05-27,74
2018-06-03,35
2018-06-10,41
2018-06-17,67
2018-06-24,52
2018-07-01,49
2018-07-08,58
2018-07-15,39
2018-07-22,51
2018-07-29,34
2018-08-05,33
2018-08-12,77
2018-08-19,75
2018-08-26,67
2018-09-02,16
2018-09-09,20
2018-09-16,28
2018-09-23,41
2018-09-30,57
2018-10-07,25
2018-10-14,70
2018-10-21,75
2018-10-28,33
2018-11-04,45
2018-11-11,77
2018-11-18,59
2018-11-25,54
2018-12-02,93
2018-12-09,54
2018-12-16,62
2018-12-23,51
2018-12-30,40
2019-01-06,58
2019-01-13,40
2019-01-20,65
2019-01-27,81
2019-02-03,93
2019-02-10,67
2019-02-17,90
2019-02-24,76
2019-03-03,58
2019-03-10,62
2019-03-17,100
2019-03-24,78
2019-03-31,66
2019-04-07,93
2019-04-14,44
2019-04-21,69
2019-04-28,51
2019-05-05,46
2019-05-12,72
2019-05-19,98
2019-05-26,37
2019-06-02,56
2019-06-09,68
2019-06-16,63
2019-06-23,39
2019-06-30,60
2019-07-07,40
2019-07-14,53
2019-07-21,42
2019-07-28,37
2019-08-04,55
2019-08-11,48
2019-08-18,82
2019-08-25,70
2019-09-01,54
2019-09-08,30
2019-09-15,75
2019-09-22,74
2019-09-29,71
2019-10-06,42
2019-10-13,70
2019-10-20,73
2019-10-27,95
2019-11-03,56
2019-11-10,69
2019-11-17,69
2019-11-24,68
2019-12-01,53
2019-12-08,72
2019-12-15,55
2019-12-22,71
2019-12-29,66
2020-01-05,48
2020-01-12,81
2020-01-19,52
2020-01-26,62
2020-02-02,47
2020-02-09,60
2020-02-16,57
2020-02-23,42
2020-03-01,59
2020-03-08,65
