date,Arts_TR
2018-01-07,80
2018-01-14,65
2018-01-21,46
2018-01-28,51
2018-02-04,74
2018-02-11,76
2018-02-18,80
2018-02-25,85
2018-03-04,82
2018-03-11,82
2018-03-18,78
2018-03-25,82
2018-04-01,82
2018-04-08,71
2018-04-15,71
2018-04-22,69
2018-04-29,66
2018-05-06,62
2018-05-13,63
2018-05-20,64
2018-05-27,57
2018-06-03,48
2018-06-10,42
2018-06-17,42
2018-06-24,40
2018-07-01,49
2018-07-08,46
2018-07-15,45
2018-07-22,43
2018-07-29,51
2018-08-05,50
2018-08-12,39
2018-08-19,34
2018-08-26,41
2018-09-02,59
2018-09-09,56
2018-09-16,77
2018-09-23,100
2018-09-30,98
2018-10-07,89
2018-10-14,85
2018-10-21,81
2018-10-28,82
2018-11-04,85
2018-11-11,94
2018-11-18,80
2018-11-25,84
2018-12-02,95
2018-12-09,76
2018-12-16,86
2018-12-23,78
2018-12-30,68
2019-01-06,75
2019-01-13,58
2019-01-20,51
2019-01-27,53
2019-02-03,75
2019-02-10,69
2019-02-17,72
2019-02-24,71
2019-03-03,73
2019-03-10,77
2019-03-17,71
2019-03-24,73
2019-03-31,67
2019-04-07,75
2019-04-14,78
2019-04-21,67
2019-04-28,67
2019-05-05,70
2019-05-12,73
2019-05-19,68
2019-05-26,61
2019-06-02,41
2019-06-09,50
2019-06-16,51
2019-06-23,47
2019-06-30,54
2019-07-07,51
2019-07-14,61
2019-07-21,71
2019-07-28,63
2019-08-04,57
2019-08-11,51
2019-08-18,56
2019-08-25,58
2019-09-01,67
2019-09-08,83
2019-09-15,94
2019-09-22,95
2019-09-29,89
2019-10-06,83
2019-10-13,87
2019-10-20,84
2019-10-27,77
2019-11-03,86
2019-11-10,76
2019-11-17,69
2019-11-24,78
2019-12-01,86
2019-12-08,88
2019-12-15,86
2019-12-22,71
2019-12-29,69
2020-01-05,75
2020-01-12,59
2020-01-19,52
2020-01-26,51
2020-02-02,71
2020-02-09,73
2020-02-16,71
2020-02-23,62
2020-03-01,71
2020-03-08,60
