date,Pets_HK
2018-01-07,66
2018-01-14,60
2018-01-21,52
2018-01-28,57
2018-02-04,71
2018-02-11,61
2018-02-18,55
2018-02-25,63
2018-03-04,66
2018-03-11,65
2018-03-18,74
2018-03-25,46
2018-04-01,75
2018-04-08,86
2018-04-15,61
2018-04-22,65
2018-04-29,66
2018-05-06,59
2018-05-13,75
2018-05-20,51
2018-05-27,64
2018-06-03,65
2018-06-10,69
2018-06-17,72
2018-06-24,89
2018-07-01,63
2018-07-08,44
2018-07-15,68
2018-07-22,76
2018-07-29,64
2018-08-05,67
2018-08-12,60
2018-08-19,58
2018-08-26,69
2018-09-02,63
2018-09-09,67
2018-09-16,59
2018-09-23,74
2018-09-30,74
2018-10-07,49
2018-10-14,57
2018-10-21,70
2018-10-28,49
2018-11-04,68
2018-11-11,62
2018-11-18,61
2018-11-25,53
2018-12-02,63
2018-12-09,58
2018-12-16,74
2018-12-23,62
2018-12-30,71
2019-01-06,82
2019-01-13,86
2019-01-20,63
2019-01-27,48
2019-02-03,24
2019-02-10,17
2019-02-17,27
2019-02-24,31
2019-03-03,32
2019-03-10,25
2019-03-17,29
2019-03-24,31
2019-03-31,57
2019-04-07,61
2019-04-14,71
2019-04-21,68
2019-04-28,70
2019-05-05,72
2019-05-12,53
2019-05-19,80
2019-05-26,79
2019-06-02,92
2019-06-09,66
2019-06-16,98
2019-06-23,100
2019-06-30,90
2019-07-07,72
2019-07-14,57
2019-07-21,62
2019-07-28,70
2019-08-04,67
2019-08-11,57
2019-08-18,65
2019-08-25,70
2019-09-01,62
2019-09-08,54
2019-09-15,70
2019-09-22,65
2019-09-29,59
2019-10-06,57
2019-10-13,59
2019-10-20,63
2019-10-27,59
2019-11-03,88
2019-11-10,62
2019-11-17,58
2019-11-24,68
2019-12-01,80
2019-12-08,75
2019-12-15,71
2019-12-22,51
2019-12-29,56
2020-01-05,56
2020-01-12,95
2020-01-19,72
2020-01-26,93
2020-02-02,79
2020-02-09,78
2020-02-16,67
2020-02-23,74
2020-03-01,74
2020-03-08,90
