date,Music_ZA
2018-01-07,61
2018-01-14,64
2018-01-21,61
2018-01-28,67
2018-02-04,70
2018-02-11,70
2018-02-18,71
2018-02-25,75
2018-03-04,72
2018-03-11,70
2018-03-18,74
2018-03-25,79
2018-04-01,68
2018-04-08,65
2018-04-15,66
2018-04-22,70
2018-04-29,69
2018-05-06,76
2018-05-13,69
2018-05-20,65
2018-05-27,75
2018-06-03,70
2018-06-10,75
2018-06-17,77
2018-06-24,82
2018-07-01,76
2018-07-08,72
2018-07-15,69
2018-07-22,66
2018-07-29,65
2018-08-05,74
2018-08-12,64
2018-08-19,66
2018-08-26,65
2018-09-02,67
2018-09-09,72
2018-09-16,72
2018-09-23,70
2018-09-30,76
2018-10-07,73
2018-10-14,67
2018-10-21,70
2018-10-28,69
2018-11-04,71
2018-11-11,73
2018-11-18,71
2018-11-25,77
2018-12-02,100
2018-12-09,81
2018-12-16,75
2018-12-23,72
2018-12-30,66
2019-01-06,59
2019-01-13,60
2019-01-20,59
2019-01-27,69
2019-02-03,62
2019-02-10,61
2019-02-17,62
2019-02-24,65
2019-03-03,65
2019-03-10,64
2019-03-17,64
2019-03-24,68
2019-03-31,65
2019-04-07,59
2019-04-14,65
2019-04-21,61
2019-04-28,63
2019-05-05,60
2019-05-12,59
2019-05-19,61
2019-05-26,66
2019-06-02,66
2019-06-09,71
2019-06-16,69
2019-06-23,65
2019-06-30,65
2019-07-07,62
2019-07-14,65
2019-07-21,63
2019-07-28,64
2019-08-04,66
2019-08-11,62
2019-08-18,68
2019-08-25,67
2019-09-01,64
2019-09-08,68
2019-09-15,68
2019-09-22,66
2019-09-29,60
2019-10-06,69
2019-10-13,67
2019-10-20,63
2019-10-27,61
2019-11-03,66
2019-11-10,69
2019-11-17,72
2019-11-24,80
2019-12-01,73
2019-12-08,68
2019-12-15,78
2019-12-22,78
2019-12-29,70
2020-01-05,59
2020-01-12,58
2020-01-19,61
2020-01-26,64
2020-02-02,63
2020-02-09,63
2020-02-16,58
2020-02-23,60
2020-03-01,60
2020-03-08,56
