date,Game_SG
2018-01-07,83
2018-01-14,80
2018-01-21,81
2018-01-28,93
2018-02-04,78
2018-02-11,94
2018-02-18,94
2018-02-25,83
2018-03-04,95
2018-03-11,76
2018-03-18,75
2018-03-25,91
2018-04-01,90
2018-04-08,90
2018-04-15,86
2018-04-22,91
2018-04-29,88
2018-05-06,77
2018-05-13,83
2018-05-20,92
2018-05-27,88
2018-06-03,100
2018-06-10,83
2018-06-17,87
2018-06-24,99
2018-07-01,90
2018-07-08,90
2018-07-15,85
2018-07-22,70
2018-07-29,63
2018-08-05,87
2018-08-12,78
2018-08-19,95
2018-08-26,86
2018-09-02,81
2018-09-09,72
2018-09-16,81
2018-09-23,68
2018-09-30,74
2018-10-07,86
2018-10-14,74
2018-10-21,86
2018-10-28,82
2018-11-04,88
2018-11-11,75
2018-11-18,90
2018-11-25,86
2018-12-02,84
2018-12-09,72
2018-12-16,92
2018-12-23,94
2018-12-30,80
2019-01-06,76
2019-01-13,77
2019-01-20,79
2019-01-27,79
2019-02-03,90
2019-02-10,79
2019-02-17,85
2019-02-24,68
2019-03-03,78
2019-03-10,69
2019-03-17,77
2019-03-24,74
2019-03-31,75
2019-04-07,81
2019-04-14,76
2019-04-21,80
2019-04-28,89
2019-05-05,80
2019-05-12,81
2019-05-19,92
2019-05-26,91
2019-06-02,91
2019-06-09,88
2019-06-16,80
2019-06-23,76
2019-06-30,69
2019-07-07,81
2019-07-14,73
2019-07-21,68
2019-07-28,74
2019-08-04,73
2019-08-11,79
2019-08-18,64
2019-08-25,73
2019-09-01,74
2019-09-08,70
2019-09-15,76
2019-09-22,72
2019-09-29,67
2019-10-06,75
2019-10-13,83
2019-10-20,73
2019-10-27,73
2019-11-03,78
2019-11-10,74
2019-11-17,74
2019-11-24,78
2019-12-01,93
2019-12-08,86
2019-12-15,84
2019-12-22,89
2019-12-29,77
2020-01-05,73
2020-01-12,74
2020-01-19,81
2020-01-26,78
2020-02-02,75
2020-02-09,77
2020-02-16,80
2020-02-23,81
2020-03-01,81
2020-03-08,77
