date,Pets_MX
2018-01-07,67
2018-01-14,61
2018-01-21,58
2018-01-28,58
2018-02-04,60
2018-02-11,62
2018-02-18,51
2018-02-25,62
2018-03-04,64
2018-03-11,60
2018-03-18,65
2018-03-25,76
2018-04-01,57
2018-04-08,58
2018-04-15,67
2018-04-22,59
2018-04-29,57
2018-05-06,53
2018-05-13,67
2018-05-20,51
2018-05-27,63
2018-06-03,96
2018-06-10,100
2018-06-17,72
2018-06-24,88
2018-07-01,55
2018-07-08,59
2018-07-15,75
2018-07-22,63
2018-07-29,67
2018-08-05,67
2018-08-12,73
2018-08-19,61
2018-08-26,60
2018-09-02,65
2018-09-09,64
2018-09-16,64
2018-09-23,61
2018-09-30,61
2018-10-07,59
2018-10-14,61
2018-10-21,50
2018-10-28,62
2018-11-04,60
2018-11-11,69
2018-11-18,68
2018-11-25,64
2018-12-02,64
2018-12-09,62
2018-12-16,76
2018-12-23,81
2018-12-30,72
2019-01-06,72
2019-01-13,74
2019-01-20,63
2019-01-27,65
2019-02-03,71
2019-02-10,74
2019-02-17,71
2019-02-24,67
2019-03-03,60
2019-03-10,74
2019-03-17,66
2019-03-24,76
2019-03-31,62
2019-04-07,72
2019-04-14,82
2019-04-21,76
2019-04-28,70
2019-05-05,62
2019-05-12,66
2019-05-19,61
2019-05-26,69
2019-06-02,66
2019-06-09,69
2019-06-16,64
2019-06-23,71
2019-06-30,73
2019-07-07,73
2019-07-14,75
2019-07-21,75
2019-07-28,75
2019-08-04,76
2019-08-11,80
2019-08-18,76
2019-08-25,66
2019-09-01,76
2019-09-08,71
2019-09-15,66
2019-09-22,75
2019-09-29,63
2019-10-06,63
2019-10-13,64
2019-10-20,73
2019-10-27,69
2019-11-03,76
2019-11-10,72
2019-11-17,75
2019-11-24,72
2019-12-01,71
2019-12-08,63
2019-12-15,77
2019-12-22,86
2019-12-29,94
2020-01-05,69
2020-01-12,71
2020-01-19,77
2020-01-26,67
2020-02-02,80
2020-02-09,68
2020-02-16,69
2020-02-23,69
2020-03-01,51
2020-03-08,70
