date,Collecting_EG
2018-01-07,31
2018-01-14,10
2018-01-21,39
2018-01-28,60
2018-02-04,21
2018-02-11,50
2018-02-18,41
2018-02-25,21
2018-03-04,40
2018-03-11,61
2018-03-18,10
2018-03-25,40
2018-04-01,62
2018-04-08,91
2018-04-15,21
2018-04-22,20
2018-04-29,62
2018-05-06,62
2018-05-13,33
2018-05-20,22
2018-05-27,10
2018-06-03,32
2018-06-10,39
2018-06-17,27
2018-06-24,36
2018-07-01,37
2018-07-08,44
2018-07-15,37
2018-07-22,28
2018-07-29,37
2018-08-05,56
2018-08-12,49
2018-08-19,20
2018-08-26,36
2018-09-02,65
2018-09-09,47
2018-09-16,66
2018-09-23,29
2018-09-30,29
2018-10-07,59
2018-10-14,69
2018-10-21,19
2018-10-28,30
2018-11-04,20
2018-11-11,31
2018-11-18,30
2018-11-25,100
2018-12-02,59
2018-12-09,38
2018-12-16,46
2018-12-23,47
2018-12-30,20
2019-01-06,28
2019-01-13,37
2019-01-20,27
2019-01-27,26
2019-02-03,17
2019-02-10,62
2019-02-17,18
2019-02-24,36
2019-03-03,75
2019-03-10,36
2019-03-17,45
2019-03-24,65
2019-03-31,28
2019-04-07,28
2019-04-14,27
2019-04-21,38
2019-04-28,49
2019-05-05,20
2019-05-12,19
2019-05-19,45
2019-05-26,9
2019-06-02,69
2019-06-09,66
2019-06-16,34
2019-06-23,32
2019-06-30,50
2019-07-07,84
2019-07-14,8
2019-07-21,17
2019-07-28,27
2019-08-04,46
2019-08-11,35
2019-08-18,71
2019-08-25,36
2019-09-01,62
2019-09-08,26
2019-09-15,45
2019-09-22,45
2019-09-29,36
2019-10-06,53
2019-10-13,54
2019-10-20,34
2019-10-27,44
2019-11-03,44
2019-11-10,52
2019-11-17,35
2019-11-24,17
2019-12-01,51
2019-12-08,34
2019-12-15,24
2019-12-22,41
2019-12-29,25
2020-01-05,49
2020-01-12,39
2020-01-19,55
2020-01-26,31
2020-02-02,69
2020-02-09,46
2020-02-16,16
2020-02-23,51
2020-03-01,23
2020-03-08,22
