date,Collecting_ID
2018-01-07,27
2018-01-14,20
2018-01-21,21
2018-01-28,55
2018-02-04,50
2018-02-11,14
2018-02-18,70
2018-02-25,61
2018-03-04,20
2018-03-11,62
2018-03-18,34
2018-03-25,14
2018-04-01,20
2018-04-08,47
2018-04-15,34
2018-04-22,27
2018-04-29,35
2018-05-06,28
2018-05-13,29
2018-05-20,68
2018-05-27,28
2018-06-03,21
2018-06-10,15
2018-06-17,21
2018-06-24,25
2018-07-01,6
2018-07-08,19
2018-07-15,20
2018-07-22,26
2018-07-29,19
2018-08-05,50
2018-08-12,14
2018-08-19,43
2018-08-26,69
2018-09-02,55
2018-09-09,55
2018-09-16,66
2018-09-23,46
2018-09-30,80
2018-10-07,39
2018-10-14,68
2018-10-21,70
2018-10-28,52
2018-11-04,33
2018-11-11,41
2018-11-18,28
2018-11-25,34
2018-12-02,55
2018-12-09,35
2018-12-16,63
2018-12-23,15
2018-12-30,7
2019-01-06,62
2019-01-13,34
2019-01-20,62
2019-01-27,62
2019-02-03,74
2019-02-10,85
2019-02-17,85
2019-02-24,46
2019-03-03,61
2019-03-10,39
2019-03-17,84
2019-03-24,100
2019-03-31,98
2019-04-07,20
2019-04-14,42
2019-04-21,33
2019-04-28,21
2019-05-05,75
2019-05-12,34
2019-05-19,53
2019-05-26,57
2019-06-02,41
2019-06-09,40
2019-06-16,60
2019-06-23,71
2019-06-30,53
2019-07-07,26
2019-07-14,47
2019-07-21,39
2019-07-28,50
2019-08-04,92
2019-08-11,46
2019-08-18,79
2019-08-25,63
2019-09-01,51
2019-09-08,55
2019-09-15,42
2019-09-22,55
2019-09-29,62
2019-10-06,61
2019-10-13,68
2019-10-20,54
2019-10-27,54
2019-11-03,56
2019-11-10,24
2019-11-17,60
2019-11-24,61
2019-12-01,83
2019-12-08,37
2019-12-15,31
2019-12-22,59
2019-12-29,40
2020-01-05,61
2020-01-12,63
2020-01-19,55
2020-01-26,36
2020-02-02,42
2020-02-09,48
2020-02-16,48
2020-02-23,41
2020-03-01,35
2020-03-08,52
