date,Game_US
2018-01-07,78
2018-01-14,74
2018-01-21,77
2018-01-28,62
2018-02-04,66
2018-02-11,63
2018-02-18,65
2018-02-25,58
2018-03-04,60
2018-03-11,63
2018-03-18,65
2018-03-25,64
2018-04-01,64
2018-04-08,65
2018-04-15,70
2018-04-22,69
2018-04-29,69
2018-05-06,70
2018-05-13,69
2018-05-20,75
2018-05-27,81
2018-06-03,77
2018-06-10,54
2018-06-17,55
2018-06-24,56
2018-07-01,55
2018-07-08,49
2018-07-15,53
2018-07-22,44
2018-07-29,46
2018-08-05,51
2018-08-12,53
2018-08-19,54
2018-08-26,66
2018-09-02,75
2018-09-09,83
2018-09-16,81
2018-09-23,84
2018-09-30,98
2018-10-07,87
2018-10-14,95
2018-10-21,95
2018-10-28,91
2018-11-04,82
2018-11-11,84
2018-11-18,98
2018-11-25,83
2018-12-02,88
2018-12-09,89
2018-12-16,91
2018-12-23,100
2018-12-30,93
2019-01-06,89
2019-01-13,82
2019-01-20,78
2019-01-27,58
2019-02-03,60
2019-02-10,57
2019-02-17,59
2019-02-24,57
2019-03-03,58
2019-03-10,58
2019-03-17,67
2019-03-24,69
2019-03-31,68
2019-04-07,68
2019-04-14,64
2019-04-21,65
2019-04-28,65
2019-05-05,72
2019-05-12,70
2019-05-19,68
2019-05-26,64
2019-06-02,67
2019-06-09,70
2019-06-16,51
2019-06-23,50
2019-06-30,51
2019-07-07,53
2019-07-14,46
2019-07-21,46
2019-07-28,47
2019-08-04,55
2019-08-11,51
2019-08-18,57
2019-08-25,69
2019-09-01,71
2019-09-08,87
2019-09-15,81
2019-09-22,83
2019-09-29,83
2019-10-06,89
2019-10-13,87
2019-10-20,89
2019-10-27,96
2019-11-03,82
2019-11-10,82
2019-11-17,82
2019-11-24,92
2019-12-01,80
2019-12-08,94
2019-12-15,93
2019-12-22,98
2019-12-29,96
2020-01-05,82
2020-01-12,94
2020-01-19,74
2020-01-26,63
2020-02-02,64
2020-02-09,61
2020-02-16,62
2020-02-23,59
2020-03-01,60
2020-03-08,56
