date,Crafts_TR
2018-01-07,27
2018-01-14,16
2018-01-21,38
2018-01-28,36
2018-02-04,31
2018-02-11,35
2018-02-18,28
2018-02-25,29
2018-03-04,17
2018-03-11,33
2018-03-18,33
2018-03-25,49
2018-04-01,37
2018-04-08,32
2018-04-15,20
2018-04-22,28
2018-04-29,17
2018-05-06,32
2018-05-13,24
2018-05-20,36
2018-05-27,27
2018-06-03,20
2018-06-10,19
2018-06-17,27
2018-06-24,25
2018-07-01,18
2018-07-08,20
2018-07-15,16
2018-07-22,24
2018-07-29,15
2018-08-05,22
2018-08-12,11
2018-08-19,33
2018-08-26,29
2018-09-02,36
2018-09-09,44
2018-09-16,32
2018-09-23,45
2018-09-30,42
2018-10-07,37
2018-10-14,24
2018-10-21,60
2018-10-28,37
2018-11-04,54
2018-11-11,40
2018-11-18,63
2018-11-25,57
2018-12-02,56
2018-12-09,54
2018-12-16,46
2018-12-23,37
2018-12-30,31
2019-01-06,28
2019-01-13,29
2019-01-20,41
2019-01-27,78
2019-02-03,94
2019-02-10,100
2019-02-17,64
2019-02-24,72
2019-03-03,87
2019-03-10,82
2019-03-17,85
2019-03-24,69
2019-03-31,29
2019-04-07,33
2019-04-14,39
2019-04-21,25
2019-04-28,41
2019-05-05,31
2019-05-12,22
2019-05-19,35
2019-05-26,40
2019-06-02,19
2019-06-09,30
2019-06-16,47
2019-06-23,24
2019-06-30,32
2019-07-07,37
2019-07-14,35
2019-07-21,25
2019-07-28,29
2019-08-04,42
2019-08-11,28
2019-08-18,34
2019-08-25,34
2019-09-01,50
2019-09-08,40
2019-09-15,31
2019-09-22,45
2019-09-29,49
2019-10-06,34
2019-10-13,34
2019-10-20,38
2019-10-27,44
2019-11-03,43
2019-11-10,32
2019-11-17,47
2019-11-24,25
2019-12-01,31
2019-12-08,42
2019-12-15,29
2019-12-22,19
2019-12-29,34
2020-01-05,46
2020-01-12,32
2020-01-19,23
2020-01-26,28
2020-02-02,37
2020-02-09,30
2020-02-16,56
2020-02-23,35
2020-03-01,49
2020-03-08,30
