date,Crafts_IN
2018-01-07,95
2018-01-14,89
2018-01-21,85
2018-01-28,87
2018-02-04,93
2018-02-11,88
2018-02-18,85
2018-02-25,74
2018-03-04,77
2018-03-11,95
2018-03-18,97
2018-03-25,92
2018-04-01,88
2018-04-08,87
2018-04-15,90
2018-04-22,84
2018-04-29,84
2018-05-06,90
2018-05-13,78
2018-05-20,84
2018-05-27,86
2018-06-03,76
2018-06-10,85
2018-06-17,79
2018-06-24,84
2018-07-01,82
2018-07-08,88
2018-07-15,85
2018-07-22,83
2018-07-29,98
2018-08-05,89
2018-08-12,90
2018-08-19,96
2018-08-26,84
2018-09-02,100
2018-09-09,75
2018-09-16,80
2018-09-23,84
2018-09-30,89
2018-10-07,91
2018-10-14,78
2018-10-21,81
2018-10-28,89
2018-11-04,77
2018-11-11,74
2018-11-18,77
2018-11-25,77
2018-12-02,83
2018-12-09,84
2018-12-16,88
2018-12-23,88
2018-12-30,78
2019-01-06,78
2019-01-13,68
2019-01-20,77
2019-01-27,69
2019-02-03,73
2019-02-10,74
2019-02-17,68
2019-02-24,63
2019-03-03,68
2019-03-10,68
2019-03-17,69
2019-03-24,69
2019-03-31,74
2019-04-07,71
2019-04-14,73
2019-04-21,72
2019-04-28,71
2019-05-05,75
2019-05-12,67
2019-05-19,70
2019-05-26,62
2019-06-02,64
2019-06-09,67
2019-06-16,68
2019-06-23,71
2019-06-30,68
2019-07-07,76
2019-07-14,71
2019-07-21,78
2019-07-28,79
2019-08-04,73
2019-08-11,71
2019-08-18,69
2019-08-25,75
2019-09-01,78
2019-09-08,66
2019-09-15,75
2019-09-22,76
2019-09-29,75
2019-10-06,66
2019-10-13,73
2019-10-20,75
2019-10-27,64
2019-11-03,72
2019-11-10,69
2019-11-17,70
2019-11-24,73
2019-12-01,75
2019-12-08,77
2019-12-15,77
2019-12-22,63
2019-12-29,61
2020-01-05,61
2020-01-12,60
2020-01-19,58
2020-01-26,57
2020-02-02,60
2020-02-09,60
2020-02-16,60
2020-02-23,62
2020-03-01,60
2020-03-08,55
