date,Pets_AE
2018-01-07,53
2018-01-14,51
2018-01-21,84
2018-01-28,74
2018-02-04,62
2018-02-11,58
2018-02-18,69
2018-02-25,67
2018-03-04,56
2018-03-11,56
2018-03-18,78
2018-03-25,95
2018-04-01,70
2018-04-08,63
2018-04-15,49
2018-04-22,57
2018-04-29,79
2018-05-06,52
2018-05-13,60
2018-05-20,52
2018-05-27,70
2018-06-03,57
2018-06-10,55
2018-06-17,44
2018-06-24,65
2018-07-01,53
2018-07-08,56
2018-07-15,81
2018-07-22,66
2018-07-29,85
2018-08-05,65
2018-08-12,56
2018-08-19,100
2018-08-26,68
2018-09-02,67
2018-09-09,52
2018-09-16,51
2018-09-23,79
2018-09-30,60
2018-10-07,67
2018-10-14,55
2018-10-21,66
2018-10-28,64
2018-11-04,33
2018-11-11,51
2018-11-18,95
2018-11-25,63
2018-12-02,90
2018-12-09,79
2018-12-16,71
2018-12-23,71
2018-12-30,57
2019-01-06,75
2019-01-13,64
2019-01-20,81
2019-01-27,78
2019-02-03,71
2019-02-10,38
2019-02-17,79
2019-02-24,80
2019-03-03,63
2019-03-10,64
2019-03-17,84
2019-03-24,79
2019-03-31,67
2019-04-07,70
2019-04-14,82
2019-04-21,51
2019-04-28,76
2019-05-05,93
2019-05-12,67
2019-05-19,76
2019-05-26,75
2019-06-02,89
2019-06-09,71
2019-06-16,59
2019-06-23,63
2019-06-30,48
2019-07-07,68
2019-07-14,44
2019-07-21,56
2019-07-28,76
2019-08-04,73
2019-08-11,82
2019-08-18,78
2019-08-25,79
2019-09-01,59
2019-09-08,70
2019-09-15,78
2019-09-22,61
2019-09-29,50
2019-10-06,64
2019-10-13,80
2019-10-20,65
2019-10-27,64
2019-11-03,92
2019-11-10,88
2019-11-17,69
2019-11-24,63
2019-12-01,70
2019-12-08,57
2019-12-15,78
2019-12-22,64
2019-12-29,68
2020-01-05,91
2020-01-12,92
2020-01-19,60
2020-01-26,64
2020-02-02,63
2020-02-09,84
2020-02-16,68
2020-02-23,73
2020-03-01,53
2020-03-08,65
