date,Music_NO
2018-01-07,75
2018-01-14,90
2018-01-21,78
2018-01-28,87
2018-02-04,84
2018-02-11,73
2018-02-18,81
2018-02-25,81
2018-03-04,85
2018-03-11,77
2018-03-18,78
2018-03-25,86
2018-04-01,71
2018-04-08,84
2018-04-15,83
2018-04-22,79
2018-04-29,85
2018-05-06,67
2018-05-13,78
2018-05-20,76
2018-05-27,100
2018-06-03,72
2018-06-10,72
2018-06-17,65
2018-06-24,70
2018-07-01,64
2018-07-08,59
2018-07-15,65
2018-07-22,71
2018-07-29,65
2018-08-05,73
2018-08-12,70
2018-08-19,79
2018-08-26,81
2018-09-02,71
2018-09-09,79
2018-09-16,78
2018-09-23,78
2018-09-30,78
2018-10-07,73
2018-10-14,80
2018-10-21,79
2018-10-28,85
2018-11-04,100
2018-11-11,81
2018-11-18,84
2018-11-25,74
2018-12-02,82
2018-12-09,82
2018-12-16,61
2018-12-23,75
2018-12-30,84
2019-01-06,79
2019-01-13,71
2019-01-20,84
2019-01-27,80
2019-02-03,89
2019-02-10,83
2019-02-17,86
2019-02-24,85
2019-03-03,91
2019-03-10,93
2019-03-17,99
2019-03-24,79
2019-03-31,74
2019-04-07,81
2019-04-14,88
2019-04-21,73
2019-04-28,70
2019-05-05,76
2019-05-12,73
2019-05-19,79
2019-05-26,84
2019-06-02,72
2019-06-09,72
2019-06-16,77
2019-06-23,67
2019-06-30,68
2019-07-07,58
2019-07-14,71
2019-07-21,72
2019-07-28,61
2019-08-04,65
2019-08-11,73
2019-08-18,70
2019-08-25,76
2019-09-01,71
2019-09-08,83
2019-09-15,73
2019-09-22,70
2019-09-29,80
2019-10-06,65
2019-10-13,78
2019-10-20,80
2019-10-27,83
2019-11-03,87
2019-11-10,79
2019-11-17,78
2019-11-24,82
2019-12-01,82
2019-12-08,75
2019-12-15,74
2019-12-22,83
2019-12-29,75
2020-01-05,74
2020-01-12,77
2020-01-19,85
2020-01-26,85
2020-02-02,81
2020-02-09,74
2020-02-16,68
2020-02-23,73
2020-03-01,73
2020-03-08,64
