date,Collecting_AE
2018-01-07,67
2018-01-14,48
2018-01-21,49
2018-01-28,82
2018-02-04,82
2018-02-11,33
2018-02-18,33
2018-02-25,16
2018-03-04,17
2018-03-11,33
2018-03-18,0
2018-03-25,18
2018-04-01,52
2018-04-08,33
2018-04-15,67
2018-04-22,100
2018-04-29,82
2018-05-06,0
2018-05-13,16
2018-05-20,17
2018-05-27,17
2018-06-03,69
2018-06-10,17
2018-06-17,65
2018-06-24,32
2018-07-01,49
2018-07-08,34
2018-07-15,18
2018-07-22,37
2018-07-29,74
2018-08-05,18
2018-08-12,19
2018-08-19,42
2018-08-26,0
2018-09-02,17
2018-09-09,17
2018-09-16,32
2018-09-23,32
2018-09-30,16
2018-10-07,34
2018-10-14,34
2018-10-21,17
2018-10-28,0
2018-11-04,67
2018-11-11,17
2018-11-18,34
2018-11-25,35
2018-12-02,71
2018-12-09,34
2018-12-16,35
2018-12-23,37
2018-12-30,54
2019-01-06,33
2019-01-13,16
2019-01-20,81
2019-01-27,48
2019-02-03,32
2019-02-10,47
2019-02-17,63
2019-02-24,31
2019-03-03,0
2019-03-10,0
2019-03-17,48
2019-03-24,64
2019-03-31,34
2019-04-07,17
2019-04-14,33
2019-04-21,64
2019-04-28,31
2019-05-05,64
2019-05-12,16
2019-05-19,32
2019-05-26,16
2019-06-02,50
2019-06-09,15
2019-06-16,44
2019-06-23,0
2019-06-30,0
2019-07-07,16
2019-07-14,65
2019-07-21,35
2019-07-28,35
2019-08-04,18
2019-08-11,19
2019-08-18,17
2019-08-25,48
2019-09-01,31
2019-09-08,75
2019-09-15,15
2019-09-22,29
2019-09-29,29
2019-10-06,14
2019-10-13,29
2019-10-20,43
2019-10-27,29
2019-11-03,43
2019-11-10,71
2019-11-17,42
2019-11-24,15
2019-12-01,46
2019-12-08,44
2019-12-15,14
2019-12-22,0
2019-12-29,44
2020-01-05,13
2020-01-12,39
2020-01-19,54
2020-01-26,67
2020-02-02,40
2020-02-09,13
2020-02-16,26
2020-02-23,62
2020-03-01,38
2020-03-08,37
