date,Crafts_NL
2018-01-07,39
2018-01-14,38
2018-01-21,39
2018-01-28,50
2018-02-04,38
2018-02-11,52
2018-02-18,42
2018-02-25,42
2018-03-04,26
2018-03-11,50
2018-03-18,31
2018-03-25,48
2018-04-01,36
2018-04-08,43
2018-04-15,30
2018-04-22,42
2018-04-29,52
2018-05-06,55
2018-05-13,22
2018-05-20,46
2018-05-27,25
2018-06-03,39
2018-06-10,32
2018-06-17,23
2018-06-24,41
2018-07-01,33
2018-07-08,32
2018-07-15,28
2018-07-22,34
2018-07-29,29
2018-08-05,28
2018-08-12,54
2018-08-19,33
2018-08-26,34
2018-09-02,69
2018-09-09,61
2018-09-16,45
2018-09-23,50
2018-09-30,37
2018-10-07,32
2018-10-14,27
2018-10-21,50
2018-10-28,39
2018-11-04,55
2018-11-11,43
2018-11-18,53
2018-11-25,48
2018-12-02,40
2018-12-09,50
2018-12-16,54
2018-12-23,36
2018-12-30,35
2019-01-06,29
2019-01-13,38
2019-01-20,27
2019-01-27,68
2019-02-03,67
2019-02-10,84
2019-02-17,55
2019-02-24,48
2019-03-03,90
2019-03-10,66
2019-03-17,100
2019-03-24,61
2019-03-31,55
2019-04-07,49
2019-04-14,38
2019-04-21,29
2019-04-28,31
2019-05-05,34
2019-05-12,49
2019-05-19,59
2019-05-26,36
2019-06-02,44
2019-06-09,40
2019-06-16,48
2019-06-23,45
2019-06-30,58
2019-07-07,32
2019-07-14,49
2019-07-21,26
2019-07-28,28
2019-08-04,36
2019-08-11,42
2019-08-18,36
2019-08-25,52
2019-09-01,31
2019-09-08,48
2019-09-15,42
2019-09-22,51
2019-09-29,37
2019-10-06,41
2019-10-13,27
2019-10-20,42
2019-10-27,36
2019-11-03,46
2019-11-10,42
2019-11-17,42
2019-11-24,53
2019-12-01,35
2019-12-08,34
2019-12-15,36
2019-12-22,57
2019-12-29,34
2020-01-05,45
2020-01-12,42
2020-01-19,46
2020-01-26,36
2020-02-02,37
2020-02-09,65
2020-02-16,38
2020-02-23,54
2020-03-01,33
2020-03-08,63
