date,Music_BD
2018-01-07,71
2018-01-14,100
2018-01-21,99
2018-01-28,86
2018-02-04,81
2018-02-11,92
2018-02-18,90
2018-02-25,84
2018-03-04,75
2018-03-11,67
2018-03-18,75
2018-03-25,87
2018-04-01,81
2018-04-08,85
2018-04-15,74
2018-04-22,68
2018-04-29,81
2018-05-06,82
2018-05-13,76
2018-05-20,66
2018-05-27,79
2018-06-03,78
2018-06-10,79
2018-06-17,62
2018-06-24,56
2018-07-01,54
2018-07-08,65
2018-07-15,57
2018-07-22,71
2018-07-29,71
2018-08-05,60
2018-08-12,74
2018-08-19,78
2018-08-26,70
2018-09-02,67
2018-09-09,56
2018-09-16,60
2018-09-23,58
2018-09-30,57
2018-10-07,63
2018-10-14,66
2018-10-21,59
2018-10-28,58
2018-11-04,67
2018-11-11,55
2018-11-18,63
2018-11-25,55
2018-12-02,60
2018-12-09,61
2018-12-16,67
2018-12-23,54
2018-12-30,55
2019-01-06,61
2019-01-13,68
2019-01-20,60
2019-01-27,51
2019-02-03,63
2019-02-10,58
2019-02-17,58
2019-02-24,57
2019-03-03,48
2019-03-10,57
2019-03-17,58
2019-03-24,57
2019-03-31,58
2019-04-07,60
2019-04-14,52
2019-04-21,57
2019-04-28,50
2019-05-05,45
2019-05-12,44
2019-05-19,52
2019-05-26,58
2019-06-02,47
2019-06-09,48
2019-06-16,39
2019-06-23,40
2019-06-30,48
2019-07-07,53
2019-07-14,50
2019-07-21,53
2019-07-28,54
2019-08-04,61
2019-08-11,57
2019-08-18,47
2019-08-25,55
2019-09-01,53
2019-09-08,48
2019-09-15,44
2019-09-22,53
2019-09-29,43
2019-10-06,50
2019-10-13,39
2019-10-20,58
2019-10-27,45
2019-11-03,50
2019-11-10,46
2019-11-17,50
2019-11-24,58
2019-12-01,52
2019-12-08,57
2019-12-15,56
2019-12-22,45
2019-12-29,45
2020-01-05,44
2020-01-12,53
2020-01-19,54
2020-01-26,45
2020-02-02,42
2020-02-09,45
2020-02-16,51
2020-02-23,44
2020-03-01,54
2020-03-08,52
