date,Learning_CL
2018-01-07,76
2018-01-14,37
2018-01-21,71
2018-01-28,12
2018-02-04,50
2018-02-11,45
2018-02-18,55
2018-02-25,61
2018-03-04,67
2018-03-11,53
2018-03-18,78
2018-03-25,73
2018-04-01,66
2018-04-08,74
2018-04-15,66
2018-04-22,63
2018-04-29,29
2018-05-06,53
2018-05-13,74
2018-05-20,56
2018-05-27,82
2018-06-03,76
2018-06-10,45
2018-06-17,60
2018-06-24,69
2018-07-01,34
2018-07-08,52
2018-07-15,26
2018-07-22,57
2018-07-29,44
2018-08-05,61
2018-08-12,63
2018-08-19,48
2018-08-26,68
2018-09-02,38
2018-09-09,100
2018-09-16,70
2018-09-23,73
2018-09-30,48
2018-10-07,74
2018-10-14,58
2018-10-21,63
2018-10-28,75
2018-11-04,37
2018-11-11,63
2018-11-18,57
2018-11-25,57
2018-12-02,61
2018-12-09,64
2018-12-16,74
2018-12-23,30
2018-12-30,97
2019-01-06,60
2019-01-13,72
2019-01-20,44
2019-01-27,56
2019-02-03,38
2019-02-10,27
2019-02-17,34
2019-02-24,61
2019-03-03,60
2019-03-10,71
2019-03-17,91
2019-03-24,48
2019-03-31,55
2019-04-07,82
2019-04-14,62
2019-04-21,59
2019-04-28,66
2019-05-05,96
2019-05-12,83
2019-05-19,82
2019-05-26,80
2019-06-02,51
2019-06-09,70
2019-06-16,83
2019-06-23,82
2019-06-30,74
2019-07-07,71
2019-07-14,52
2019-07-21,46
2019-07-28,75
2019-08-04,68
2019-08-11,78
2019-08-18,69
2019-08-25,81
2019-09-01,58
2019-09-08,72
2019-09-15,34
2019-09-22,41
2019-09-29,55
2019-10-06,55
2019-10-13,79
2019-10-20,42
2019-10-27,52
2019-11-03,49
2019-11-10,50
2019-11-17,42
2019-11-24,81
2019-12-01,50
2019-12-08,54
2019-12-15,48
2019-12-22,74
2019-12-29,54
2020-01-05,88
2020-01-12,32
2020-01-19,56
2020-01-26,57
2020-02-02,44
2020-02-09,70
2020-02-16,76
2020-02-23,51
2020-03-01,79
2020-03-08,45
