date,Crafts_NG
2018-01-07,70
2018-01-14,38
2018-01-21,86
2018-01-28,43
2018-02-04,50
2018-02-11,68
2018-02-18,59
2018-02-25,34
2018-03-04,57
2018-03-11,54
2018-03-18,71
2018-03-25,75
2018-04-01,20
2018-04-08,59
2018-04-15,55
2018-04-22,31
2018-04-29,81
2018-05-06,91
2018-05-13,52
2018-05-20,85
2018-05-27,79
2018-06-03,67
2018-06-10,51
2018-06-17,52
2018-06-24,31
2018-07-01,30
2018-07-08,49
2018-07-15,55
2018-07-22,55
2018-07-29,64
2018-08-05,72
2018-08-12,37
2018-08-19,39
2018-08-26,37
2018-09-02,58
2018-09-09,24
2018-09-16,64
2018-09-23,45
2018-09-30,81
2018-10-07,67
2018-10-14,81
2018-10-21,37
2018-10-28,60
2018-11-04,77
2018-11-11,50
2018-11-18,25
2018-11-25,15
2018-12-02,15
2018-12-09,54
2018-12-16,15
2018-12-23,39
2018-12-30,49
2019-01-06,49
2019-01-13,100
2019-01-20,70
2019-01-27,67
2019-02-03,74
2019-02-10,65
2019-02-17,50
2019-02-24,78
2019-03-03,42
2019-03-10,78
2019-03-17,90
2019-03-24,30
2019-03-31,71
2019-04-07,76
2019-04-14,60
2019-04-21,63
2019-04-28,32
2019-05-05,88
2019-05-12,87
2019-05-19,40
2019-05-26,60
2019-06-02,41
2019-06-09,79
2019-06-16,30
2019-06-23,61
2019-06-30,49
2019-07-07,53
2019-07-14,54
2019-07-21,58
2019-07-28,57
2019-08-04,38
2019-08-11,33
2019-08-18,37
2019-08-25,43
2019-09-01,24
2019-09-08,28
2019-09-15,55
2019-09-22,59
2019-09-29,36
2019-10-06,100
2019-10-13,42
2019-10-20,57
2019-10-27,86
2019-11-03,55
2019-11-10,72
2019-11-17,53
2019-11-24,50
2019-12-01,37
2019-12-08,52
2019-12-15,42
2019-12-22,41
2019-12-29,34
2020-01-05,34
2020-01-12,61
2020-01-19,69
2020-01-26,34
2020-02-02,71
2020-02-09,75
2020-02-16,46
2020-02-23,59
2020-03-01,21
2020-03-08,54
