date,Music_IE
2018-01-07,81
2018-01-14,95
2018-01-21,95
2018-01-28,90
2018-02-04,86
2018-02-11,86
2018-02-18,85
2018-02-25,78
2018-03-04,94
2018-03-11,95
2018-03-18,89
2018-03-25,85
2018-04-01,83
2018-04-08,93
2018-04-15,100
2018-04-22,77
2018-04-29,83
2018-05-06,85
2018-05-13,88
2018-05-20,92
2018-05-27,94
2018-06-03,81
2018-06-10,83
2018-06-17,89
2018-06-24,88
2018-07-01,80
2018-07-08,81
2018-07-15,82
2018-07-22,82
2018-07-29,85
2018-08-05,79
2018-08-12,82
2018-08-19,77
2018-08-26,95
2018-09-02,87
2018-09-09,88
2018-09-16,88
2018-09-23,88
2018-09-30,82
2018-10-07,85
2018-10-14,85
2018-10-21,79
2018-10-28,89
2018-11-04,95
2018-11-11,86
2018-11-18,84
2018-11-25,81
2018-12-02,86
2018-12-09,84
2018-12-16,82
2018-12-23,80
2018-12-30,81
2019-01-06,74
2019-01-13,82
2019-01-20,88
2019-01-27,89
2019-02-03,79
2019-02-10,76
2019-02-17,75
2019-02-24,84
2019-03-03,81
2019-03-10,84
2019-03-17,91
2019-03-24,84
2019-03-31,90
2019-04-07,82
2019-04-14,84
2019-04-21,82
2019-04-28,89
2019-05-05,77
2019-05-12,89
2019-05-19,87
2019-05-26,85
2019-06-02,75
2019-06-09,81
2019-06-16,90
2019-06-23,80
2019-06-30,82
2019-07-07,89
2019-07-14,78
2019-07-21,79
2019-07-28,74
2019-08-04,77
2019-08-11,71
2019-08-18,83
2019-08-25,74
2019-09-01,79
2019-09-08,82
2019-09-15,85
2019-09-22,79
2019-09-29,80
2019-10-06,82
2019-10-13,87
2019-10-20,79
2019-10-27,76
2019-11-03,81
2019-11-10,82
2019-11-17,80
2019-11-24,75
2019-12-01,87
2019-12-08,88
2019-12-15,79
2019-12-22,88
2019-12-29,77
2020-01-05,77
2020-01-12,85
2020-01-19,88
2020-01-26,82
2020-02-02,74
2020-02-09,80
2020-02-16,80
2020-02-23,74
2020-03-01,75
2020-03-08,70
