date,Sports_CN
2018-01-07,62
2018-01-14,85
2018-01-21,60
2018-01-28,51
2018-02-04,67
2018-02-11,33
2018-02-18,57
2018-02-25,62
2018-03-04,48
2018-03-11,60
2018-03-18,67
2018-03-25,61
2018-04-01,77
2018-04-08,40
2018-04-15,50
2018-04-22,65
2018-04-29,66
2018-05-06,55
2018-05-13,55
2018-05-20,58
2018-05-27,67
2018-06-03,46
2018-06-10,68
2018-06-17,99
2018-06-24,84
2018-07-01,51
2018-07-08,39
2018-07-15,44
2018-07-22,51
2018-07-29,73
2018-08-05,55
2018-08-12,59
2018-08-19,62
2018-08-26,58
2018-09-02,37
2018-09-09,61
2018-09-16,62
2018-09-23,41
2018-09-30,100
2018-10-07,38
2018-10-14,57
2018-10-21,71
2018-10-28,69
2018-11-04,73
2018-11-11,56
2018-11-18,67
2018-11-25,54
2018-12-02,55
2018-12-09,44
2018-12-16,55
2018-12-23,48
2018-12-30,57
2019-01-06,50
2019-01-13,62
2019-01-20,60
2019-01-27,25
2019-02-03,22
2019-02-10,23
2019-02-17,24
2019-02-24,36
2019-03-03,16
2019-03-10,16
2019-03-17,27
2019-03-24,12
2019-03-31,44
2019-04-07,62
2019-04-14,62
2019-04-21,54
2019-04-28,43
2019-05-05,73
2019-05-12,29
2019-05-19,61
2019-05-26,64
2019-06-02,46
2019-06-09,69
2019-06-16,40
2019-06-23,53
2019-06-30,52
2019-07-07,38
2019-07-14,42
2019-07-21,34
2019-07-28,58
2019-08-04,38
2019-08-11,36
2019-08-18,28
2019-08-25,55
2019-09-01,54
2019-09-08,62
2019-09-15,54
2019-09-22,57
2019-09-29,91
2019-10-06,43
2019-10-13,71
2019-10-20,65
2019-10-27,70
2019-11-03,77
2019-11-10,81
2019-11-17,59
2019-11-24,51
2019-12-01,75
2019-12-08,45
2019-12-15,47
2019-12-22,43
2019-12-29,49
2020-01-05,48
2020-01-12,70
2020-01-19,42
2020-01-26,73
2020-02-02,43
2020-02-09,54
2020-02-16,51
2020-02-23,56
2020-03-01,40
2020-03-08,34
