date,Cooking_FR
2018-01-07,36
2018-01-14,37
2018-01-21,37
2018-01-28,37
2018-02-04,35
2018-02-11,35
2018-02-18,39
2018-02-25,36
2018-03-04,39
2018-03-11,38
2018-03-18,38
2018-03-25,45
2018-04-01,50
2018-04-08,39
2018-04-15,38
2018-04-22,42
2018-04-29,44
2018-05-06,45
2018-05-13,37
2018-05-20,38
2018-05-27,36
2018-06-03,36
2018-06-10,32
2018-06-17,29
2018-06-24,28
2018-07-01,27
2018-07-08,26
2018-07-15,29
2018-07-22,32
2018-07-29,33
2018-08-05,32
2018-08-12,37
2018-08-19,34
2018-08-26,35
2018-09-02,36
2018-09-09,35
2018-09-16,33
2018-09-23,35
2018-09-30,39
2018-10-07,42
2018-10-14,41
2018-10-21,44
2018-10-28,47
2018-11-04,41
2018-11-11,42
2018-11-18,40
2018-11-25,41
2018-12-02,37
2018-12-09,41
2018-12-16,52
2018-12-23,99
2018-12-30,62
2019-01-06,42
2019-01-13,39
2019-01-20,41
2019-01-27,40
2019-02-03,41
2019-02-10,43
2019-02-17,43
2019-02-24,43
2019-03-03,44
2019-03-10,40
2019-03-17,45
2019-03-24,41
2019-03-31,44
2019-04-07,43
2019-04-14,47
2019-04-21,55
2019-04-28,45
2019-05-05,48
2019-05-12,43
2019-05-19,41
2019-05-26,43
2019-06-02,34
2019-06-09,38
2019-06-16,33
2019-06-23,32
2019-06-30,28
2019-07-07,30
2019-07-14,32
2019-07-21,32
2019-07-28,35
2019-08-04,37
2019-08-11,39
2019-08-18,37
2019-08-25,36
2019-09-01,37
2019-09-08,39
2019-09-15,37
2019-09-22,39
2019-09-29,42
2019-10-06,44
2019-10-13,46
2019-10-20,48
2019-10-27,52
2019-11-03,46
2019-11-10,50
2019-11-17,48
2019-11-24,43
2019-12-01,42
2019-12-08,45
2019-12-15,50
2019-12-22,100
2019-12-29,70
2020-01-05,44
2020-01-12,45
2020-01-19,46
2020-01-26,45
2020-02-02,44
2020-02-09,43
2020-02-16,43
2020-02-23,46
2020-03-01,42
2020-03-08,41
