date,Game_GB
2018-01-07,67
2018-01-14,68
2018-01-21,71
2018-01-28,72
2018-02-04,73
2018-02-11,71
2018-02-18,69
2018-02-25,68
2018-03-04,67
2018-03-11,69
2018-03-18,70
2018-03-25,67
2018-04-01,66
2018-04-08,66
2018-04-15,62
2018-04-22,65
2018-04-29,65
2018-05-06,62
2018-05-13,63
2018-05-20,64
2018-05-27,62
2018-06-03,66
2018-06-10,75
2018-06-17,89
2018-06-24,88
2018-07-01,97
2018-07-08,84
2018-07-15,64
2018-07-22,57
2018-07-29,58
2018-08-05,60
2018-08-12,61
2018-08-19,59
2018-08-26,63
2018-09-02,62
2018-09-09,63
2018-09-16,66
2018-09-23,68
2018-09-30,64
2018-10-07,68
2018-10-14,65
2018-10-21,69
2018-10-28,68
2018-11-04,69
2018-11-11,73
2018-11-18,74
2018-11-25,82
2018-12-02,82
2018-12-09,84
2018-12-16,91
2018-12-23,100
2018-12-30,72
2019-01-06,63
2019-01-13,66
2019-01-20,65
2019-01-27,66
2019-02-03,69
2019-02-10,64
2019-02-17,63
2019-02-24,69
2019-03-03,66
2019-03-10,68
2019-03-17,66
2019-03-24,60
2019-03-31,66
2019-04-07,62
2019-04-14,60
2019-04-21,64
2019-04-28,62
2019-05-05,64
2019-05-12,62
2019-05-19,58
2019-05-26,61
2019-06-02,62
2019-06-09,61
2019-06-16,60
2019-06-23,61
2019-06-30,60
2019-07-07,62
2019-07-14,67
2019-07-21,56
2019-07-28,57
2019-08-04,58
2019-08-11,62
2019-08-18,57
2019-08-25,58
2019-09-01,59
2019-09-08,63
2019-09-15,63
2019-09-22,70
2019-09-29,68
2019-10-06,71
2019-10-13,70
2019-10-20,71
2019-10-27,72
2019-11-03,73
2019-11-10,76
2019-11-17,76
2019-11-24,79
2019-12-01,88
2019-12-08,89
2019-12-15,97
2019-12-22,100
2019-12-29,80
2020-01-05,70
2020-01-12,69
2020-01-19,73
2020-01-26,70
2020-02-02,73
2020-02-09,70
2020-02-16,69
2020-02-23,70
2020-03-01,71
2020-03-08,68
