date,Game_MX
2018-01-07,73
2018-01-14,74
2018-01-21,77
2018-01-28,75
2018-02-04,75
2018-02-11,72
2018-02-18,76
2018-02-25,74
2018-03-04,75
2018-03-11,74
2018-03-18,78
2018-03-25,87
2018-04-01,78
2018-04-08,72
2018-04-15,72
2018-04-22,72
2018-04-29,77
2018-05-06,75
2018-05-13,75
2018-05-20,67
2018-05-27,70
2018-06-03,73
2018-06-10,80
2018-06-17,96
2018-06-24,100
2018-07-01,80
2018-07-08,77
2018-07-15,73
2018-07-22,73
2018-07-29,73
2018-08-05,69
2018-08-12,68
2018-08-19,59
2018-08-26,60
2018-09-02,62
2018-09-09,62
2018-09-16,63
2018-09-23,65
2018-09-30,64
2018-10-07,64
2018-10-14,62
2018-10-21,64
2018-10-28,67
2018-11-04,61
2018-11-11,64
2018-11-18,67
2018-11-25,68
2018-12-02,71
2018-12-09,69
2018-12-16,68
2018-12-23,76
2018-12-30,74
2019-01-06,63
2019-01-13,60
2019-01-20,62
2019-01-27,54
2019-02-03,53
2019-02-10,54
2019-02-17,52
2019-02-24,53
2019-03-03,52
2019-03-10,51
2019-03-17,54
2019-03-24,52
2019-03-31,57
2019-04-07,58
2019-04-14,66
2019-04-21,58
2019-04-28,58
2019-05-05,60
2019-05-12,59
2019-05-19,61
2019-05-26,56
2019-06-02,57
2019-06-09,58
2019-06-16,60
2019-06-23,65
2019-06-30,63
2019-07-07,61
2019-07-14,60
2019-07-21,62
2019-07-28,66
2019-08-04,65
2019-08-11,60
2019-08-18,57
2019-08-25,51
2019-09-01,52
2019-09-08,54
2019-09-15,55
2019-09-22,54
2019-09-29,58
2019-10-06,55
2019-10-13,56
2019-10-20,54
2019-10-27,52
2019-11-03,54
2019-11-10,56
2019-11-17,56
2019-11-24,58
2019-12-01,60
2019-12-08,61
2019-12-15,60
2019-12-22,74
2019-12-29,70
2020-01-05,62
2020-01-12,57
2020-01-19,54
2020-01-26,53
2020-02-02,53
2020-02-09,50
2020-02-16,49
2020-02-23,51
2020-03-01,50
2020-03-08,55
