date,Crafts_NO
2018-01-07,64
2018-01-14,40
2018-01-21,36
2018-01-28,44
2018-02-04,24
2018-02-11,36
2018-02-18,21
2018-02-25,36
2018-03-04,44
2018-03-11,45
2018-03-18,37
2018-03-25,59
2018-04-01,32
2018-04-08,78
2018-04-15,32
2018-04-22,44
2018-04-29,37
2018-05-06,38
2018-05-13,40
2018-05-20,26
2018-05-27,34
2018-06-03,33
2018-06-10,47
2018-06-17,37
2018-06-24,17
2018-07-01,18
2018-07-08,42
2018-07-15,34
2018-07-22,10
2018-07-29,44
2018-08-05,46
2018-08-12,49
2018-08-19,69
2018-08-26,32
2018-09-02,36
2018-09-09,32
2018-09-16,20
2018-09-23,57
2018-09-30,38
2018-10-07,39
2018-10-14,42
2018-10-21,58
2018-10-28,62
2018-11-04,33
2018-11-11,47
2018-11-18,63
2018-11-25,61
2018-12-02,43
2018-12-09,38
2018-12-16,53
2018-12-23,34
2018-12-30,48
2019-01-06,47
2019-01-13,44
2019-01-20,31
2019-01-27,72
2019-02-03,100
2019-02-10,64
2019-02-17,90
2019-02-24,63
2019-03-03,77
2019-03-10,53
2019-03-17,48
2019-03-24,76
2019-03-31,70
2019-04-07,34
2019-04-14,34
2019-04-21,46
2019-04-28,20
2019-05-05,27
2019-05-12,37
2019-05-19,32
2019-05-26,43
2019-06-02,61
2019-06-09,24
2019-06-16,40
2019-06-23,25
2019-06-30,69
2019-07-07,47
2019-07-14,42
2019-07-21,44
2019-07-28,32
2019-08-04,53
2019-08-11,69
2019-08-18,58
2019-08-25,64
2019-09-01,69
2019-09-08,47
2019-09-15,49
2019-09-22,49
2019-09-29,47
2019-10-06,27
2019-10-13,60
2019-10-20,63
2019-10-27,56
2019-11-03,55
2019-11-10,48
2019-11-17,59
2019-11-24,32
2019-12-01,26
2019-12-08,33
2019-12-15,38
2019-12-22,9
2019-12-29,8
2020-01-05,38
2020-01-12,58
2020-01-19,46
2020-01-26,49
2020-02-02,42
2020-02-09,77
2020-02-16,46
2020-02-23,48
2020-03-01,50
2020-03-08,36
