date,Game_MY
2018-01-07,75
2018-01-14,86
2018-01-21,80
2018-01-28,87
2018-02-04,86
2018-02-11,89
2018-02-18,84
2018-02-25,80
2018-03-04,84
2018-03-11,77
2018-03-18,93
2018-03-25,79
2018-04-01,86
2018-04-08,83
2018-04-15,80
2018-04-22,80
2018-04-29,81
2018-05-06,84
2018-05-13,73
2018-05-20,67
2018-05-27,80
2018-06-03,85
2018-06-10,99
2018-06-17,94
2018-06-24,74
2018-07-01,79
2018-07-08,77
2018-07-15,81
2018-07-22,79
2018-07-29,76
2018-08-05,79
2018-08-12,82
2018-08-19,100
2018-08-26,85
2018-09-02,80
2018-09-09,88
2018-09-16,87
2018-09-23,89
2018-09-30,91
2018-10-07,83
2018-10-14,93
2018-10-21,92
2018-10-28,89
2018-11-04,90
2018-11-11,91
2018-11-18,94
2018-11-25,86
2018-12-02,94
2018-12-09,89
2018-12-16,90
2018-12-23,87
2018-12-30,80
2019-01-06,68
2019-01-13,78
2019-01-20,76
2019-01-27,68
2019-02-03,89
2019-02-10,68
2019-02-17,75
2019-02-24,76
2019-03-03,72
2019-03-10,73
2019-03-17,66
2019-03-24,74
2019-03-31,71
2019-04-07,73
2019-04-14,76
2019-04-21,76
2019-04-28,76
2019-05-05,77
2019-05-12,74
2019-05-19,82
2019-05-26,89
2019-06-02,99
2019-06-09,76
2019-06-16,76
2019-06-23,76
2019-06-30,77
2019-07-07,83
2019-07-14,83
2019-07-21,75
2019-07-28,72
2019-08-04,70
2019-08-11,85
2019-08-18,72
2019-08-25,75
2019-09-01,81
2019-09-08,81
2019-09-15,85
2019-09-22,82
2019-09-29,82
2019-10-06,80
2019-10-13,75
2019-10-20,85
2019-10-27,80
2019-11-03,84
2019-11-10,86
2019-11-17,87
2019-11-24,91
2019-12-01,91
2019-12-08,88
2019-12-15,87
2019-12-22,84
2019-12-29,75
2020-01-05,75
2020-01-12,74
2020-01-19,82
2020-01-26,75
2020-02-02,74
2020-02-09,77
2020-02-16,77
2020-02-23,74
2020-03-01,75
2020-03-08,76
