date,Crafts_BD
2018-01-07,70
2018-01-14,55
2018-01-21,70
2018-01-28,69
2018-02-04,55
2018-02-11,53
2018-02-18,75
2018-02-25,43
2018-03-04,16
2018-03-11,42
2018-03-18,53
2018-03-25,67
2018-04-01,53
2018-04-08,52
2018-04-15,52
2018-04-22,62
2018-04-29,54
2018-05-06,35
2018-05-13,44
2018-05-20,70
2018-05-27,58
2018-06-03,23
2018-06-10,49
2018-06-17,31
2018-06-24,42
2018-07-01,15
2018-07-08,35
2018-07-15,50
2018-07-22,60
2018-07-29,52
2018-08-05,56
2018-08-12,42
2018-08-19,50
2018-08-26,82
2018-09-02,20
2018-09-09,33
2018-09-16,41
2018-09-23,45
2018-09-30,55
2018-10-07,63
2018-10-14,41
2018-10-21,66
2018-10-28,56
2018-11-04,63
2018-11-11,38
2018-11-18,55
2018-11-25,98
2018-12-02,87
2018-12-09,54
2018-12-16,44
2018-12-23,58
2018-12-30,40
2019-01-06,46
2019-01-13,93
2019-01-20,44
2019-01-27,66
2019-02-03,64
2019-02-10,52
2019-02-17,38
2019-02-24,100
2019-03-03,19
2019-03-10,34
2019-03-17,77
2019-03-24,67
2019-03-31,36
2019-04-07,51
2019-04-14,51
2019-04-21,55
2019-04-28,47
2019-05-05,41
2019-05-12,53
2019-05-19,90
2019-05-26,26
2019-06-02,60
2019-06-09,66
2019-06-16,36
2019-06-23,53
2019-06-30,51
2019-07-07,50
2019-07-14,23
2019-07-21,56
2019-07-28,80
2019-08-04,30
2019-08-11,29
2019-08-18,28
2019-08-25,36
2019-09-01,54
2019-09-08,34
2019-09-15,29
2019-09-22,59
2019-09-29,69
2019-10-06,56
2019-10-13,54
2019-10-20,37
2019-10-27,79
2019-11-03,24
2019-11-10,42
2019-11-17,52
2019-11-24,68
2019-12-01,59
2019-12-08,65
2019-12-15,48
2019-12-22,80
2019-12-29,20
2020-01-05,34
2020-01-12,41
2020-01-19,63
2020-01-26,42
2020-02-02,57
2020-02-09,66
2020-02-16,63
2020-02-23,61
2020-03-01,52
2020-03-08,23
