date,Crafts_SE
2018-01-07,72
2018-01-14,49
2018-01-21,51
2018-01-28,48
2018-02-04,63
2018-02-11,61
2018-02-18,41
2018-02-25,64
2018-03-04,57
2018-03-11,43
2018-03-18,62
2018-03-25,36
2018-04-01,56
2018-04-08,46
2018-04-15,43
2018-04-22,45
2018-04-29,12
2018-05-06,51
2018-05-13,32
2018-05-20,53
2018-05-27,33
2018-06-03,48
2018-06-10,58
2018-06-17,60
2018-06-24,69
2018-07-01,45
2018-07-08,31
2018-07-15,42
2018-07-22,45
2018-07-29,51
2018-08-05,72
2018-08-12,55
2018-08-19,34
2018-08-26,70
2018-09-02,45
2018-09-09,38
2018-09-16,74
2018-09-23,37
2018-09-30,49
2018-10-07,73
2018-10-14,55
2018-10-21,49
2018-10-28,71
2018-11-04,46
2018-11-11,23
2018-11-18,58
2018-11-25,45
2018-12-02,46
2018-12-09,64
2018-12-16,58
2018-12-23,62
2018-12-30,66
2019-01-06,75
2019-01-13,60
2019-01-20,45
2019-01-27,71
2019-02-03,59
2019-02-10,100
2019-02-17,91
2019-02-24,69
2019-03-03,67
2019-03-10,63
2019-03-17,82
2019-03-24,80
2019-03-31,46
2019-04-07,54
2019-04-14,38
2019-04-21,35
2019-04-28,45
2019-05-05,67
2019-05-12,58
2019-05-19,56
2019-05-26,55
2019-06-02,35
2019-06-09,58
2019-06-16,59
2019-06-23,78
2019-06-30,55
2019-07-07,55
2019-07-14,71
2019-07-21,57
2019-07-28,49
2019-08-04,64
2019-08-11,63
2019-08-18,62
2019-08-25,77
2019-09-01,47
2019-09-08,59
2019-09-15,65
2019-09-22,54
2019-09-29,53
2019-10-06,39
2019-10-13,49
2019-10-20,63
2019-10-27,30
2019-11-03,42
2019-11-10,50
2019-11-17,52
2019-11-24,51
2019-12-01,74
2019-12-08,63
2019-12-15,86
2019-12-22,86
2019-12-29,54
2020-01-05,50
2020-01-12,60
2020-01-19,54
2020-01-26,73
2020-02-02,75
2020-02-09,59
2020-02-16,63
2020-02-23,55
2020-03-01,39
2020-03-08,46
