date,Collecting_PH
2018-01-07,60
2018-01-14,40
2018-01-21,40
2018-01-28,80
2018-02-04,45
2018-02-11,41
2018-02-18,46
2018-02-25,30
2018-03-04,44
2018-03-11,44
2018-03-18,41
2018-03-25,22
2018-04-01,21
2018-04-08,25
2018-04-15,15
2018-04-22,50
2018-04-29,36
2018-05-06,40
2018-05-13,21
2018-05-20,20
2018-05-27,26
2018-06-03,20
2018-06-10,24
2018-06-17,42
2018-06-24,41
2018-07-01,37
2018-07-08,35
2018-07-15,41
2018-07-22,28
2018-07-29,77
2018-08-05,50
2018-08-12,27
2018-08-19,28
2018-08-26,28
2018-09-02,72
2018-09-09,49
2018-09-16,46
2018-09-23,37
2018-09-30,41
2018-10-07,57
2018-10-14,32
2018-10-21,42
2018-10-28,41
2018-11-04,60
2018-11-11,32
2018-11-18,51
2018-11-25,33
2018-12-02,32
2018-12-09,47
2018-12-16,63
2018-12-23,59
2018-12-30,30
2019-01-06,44
2019-01-13,18
2019-01-20,100
2019-01-27,53
2019-02-03,39
2019-02-10,65
2019-02-17,21
2019-02-24,42
2019-03-03,51
2019-03-10,30
2019-03-17,61
2019-03-24,58
2019-03-31,9
2019-04-07,38
2019-04-14,54
2019-04-21,27
2019-04-28,19
2019-05-05,18
2019-05-12,22
2019-05-19,40
2019-05-26,39
2019-06-02,63
2019-06-09,33
2019-06-16,50
2019-06-23,32
2019-06-30,44
2019-07-07,44
2019-07-14,28
2019-07-21,61
2019-07-28,65
2019-08-04,45
2019-08-11,29
2019-08-18,37
2019-08-25,32
2019-09-01,39
2019-09-08,27
2019-09-15,47
2019-09-22,48
2019-09-29,52
2019-10-06,55
2019-10-13,48
2019-10-20,40
2019-10-27,30
2019-11-03,63
2019-11-10,38
2019-11-17,38
2019-11-24,31
2019-12-01,52
2019-12-08,24
2019-12-15,29
2019-12-22,37
2019-12-29,40
2020-01-05,71
2020-01-12,36
2020-01-19,49
2020-01-26,71
2020-02-02,80
2020-02-09,56
2020-02-16,87
2020-02-23,68
2020-03-01,67
2020-03-08,43
