date,Learning_NZ
2018-01-07,49
2018-01-14,59
2018-01-21,63
2018-01-28,66
2018-02-04,69
2018-02-11,74
2018-02-18,74
2018-02-25,96
2018-03-04,93
2018-03-11,86
2018-03-18,80
2018-03-25,79
2018-04-01,64
2018-04-08,77
2018-04-15,56
2018-04-22,56
2018-04-29,74
2018-05-06,88
2018-05-13,85
2018-05-20,73
2018-05-27,91
2018-06-03,78
2018-06-10,67
2018-06-17,66
2018-06-24,63
2018-07-01,77
2018-07-08,61
2018-07-15,65
2018-07-22,76
2018-07-29,86
2018-08-05,100
2018-08-12,72
2018-08-19,82
2018-08-26,78
2018-09-02,83
2018-09-09,90
2018-09-16,88
2018-09-23,75
2018-09-30,78
2018-10-07,73
2018-10-14,79
2018-10-21,74
2018-10-28,65
2018-11-04,62
2018-11-11,73
2018-11-18,68
2018-11-25,65
2018-12-02,58
2018-12-09,53
2018-12-16,44
2018-12-23,34
2018-12-30,44
2019-01-06,61
2019-01-13,47
2019-01-20,45
2019-01-27,71
2019-02-03,70
2019-02-10,66
2019-02-17,72
2019-02-24,84
2019-03-03,73
2019-03-10,79
2019-03-17,75
2019-03-24,71
2019-03-31,69
2019-04-07,62
2019-04-14,68
2019-04-21,64
2019-04-28,66
2019-05-05,81
2019-05-12,74
2019-05-19,73
2019-05-26,72
2019-06-02,68
2019-06-09,76
2019-06-16,66
2019-06-23,77
2019-06-30,57
2019-07-07,55
2019-07-14,52
2019-07-21,71
2019-07-28,73
2019-08-04,87
2019-08-11,81
2019-08-18,71
2019-08-25,67
2019-09-01,76
2019-09-08,72
2019-09-15,74
2019-09-22,67
2019-09-29,60
2019-10-06,67
2019-10-13,70
2019-10-20,65
2019-10-27,64
2019-11-03,65
2019-11-10,62
2019-11-17,59
2019-11-24,57
2019-12-01,64
2019-12-08,49
2019-12-15,52
2019-12-22,33
2019-12-29,36
2020-01-05,43
2020-01-12,51
2020-01-19,53
2020-01-26,58
2020-02-02,54
2020-02-09,77
2020-02-16,75
2020-02-23,72
2020-03-01,77
2020-03-08,74
