date,Collecting_CN
2018-01-07,0
2018-01-14,0
2018-01-21,64
2018-01-28,100
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,56
2018-03-18,84
2018-03-25,54
2018-04-01,0
2018-04-08,74
2018-04-15,0
2018-04-22,0
2018-04-29,89
2018-05-06,49
2018-05-13,49
2018-05-20,24
2018-05-27,0
2018-06-03,50
2018-06-10,0
2018-06-17,53
2018-06-24,25
2018-07-01,24
2018-07-08,48
2018-07-15,75
2018-07-22,0
2018-07-29,0
2018-08-05,50
2018-08-12,24
2018-08-19,0
2018-08-26,0
2018-09-02,92
2018-09-09,44
2018-09-16,0
2018-09-23,23
2018-09-30,36
2018-10-07,22
2018-10-14,0
2018-10-21,63
2018-10-28,21
2018-11-04,41
2018-11-11,42
2018-11-18,22
2018-11-25,23
2018-12-02,22
2018-12-09,0
2018-12-16,0
2018-12-23,44
2018-12-30,0
2019-01-06,22
2019-01-13,50
2019-01-20,28
2019-01-27,0
2019-02-03,57
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,24
2019-03-17,23
2019-03-24,46
2019-03-31,26
2019-04-07,0
2019-04-14,87
2019-04-21,45
2019-04-28,0
2019-05-05,22
2019-05-12,0
2019-05-19,93
2019-05-26,69
2019-06-02,0
2019-06-09,47
2019-06-16,0
2019-06-23,71
2019-06-30,0
2019-07-07,24
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,53
2019-08-11,23
2019-08-18,48
2019-08-25,49
2019-09-01,47
2019-09-08,0
2019-09-15,25
2019-09-22,26
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,99
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,25
2019-11-24,77
2019-12-01,0
2019-12-08,87
2019-12-15,0
2019-12-22,28
2019-12-29,61
2020-01-05,27
2020-01-12,28
2020-01-19,0
2020-01-26,0
2020-02-02,51
2020-02-09,0
2020-02-16,0
2020-02-23,85
2020-03-01,0
2020-03-08,0
