date,Arts_BD
2018-01-07,63
2018-01-14,72
2018-01-21,62
2018-01-28,77
2018-02-04,100
2018-02-11,80
2018-02-18,70
2018-02-25,79
2018-03-04,68
2018-03-11,89
2018-03-18,70
2018-03-25,84
2018-04-01,74
2018-04-08,53
2018-04-15,73
2018-04-22,84
2018-04-29,81
2018-05-06,69
2018-05-13,80
2018-05-20,84
2018-05-27,68
2018-06-03,71
2018-06-10,56
2018-06-17,43
2018-06-24,67
2018-07-01,71
2018-07-08,76
2018-07-15,66
2018-07-22,73
2018-07-29,65
2018-08-05,71
2018-08-12,81
2018-08-19,49
2018-08-26,84
2018-09-02,84
2018-09-09,64
2018-09-16,63
2018-09-23,65
2018-09-30,82
2018-10-07,86
2018-10-14,78
2018-10-21,81
2018-10-28,76
2018-11-04,67
2018-11-11,79
2018-11-18,60
2018-11-25,64
2018-12-02,70
2018-12-09,75
2018-12-16,60
2018-12-23,39
2018-12-30,72
2019-01-06,73
2019-01-13,59
2019-01-20,67
2019-01-27,58
2019-02-03,60
2019-02-10,76
2019-02-17,58
2019-02-24,69
2019-03-03,74
2019-03-10,74
2019-03-17,54
2019-03-24,68
2019-03-31,76
2019-04-07,60
2019-04-14,57
2019-04-21,62
2019-04-28,59
2019-05-05,75
2019-05-12,69
2019-05-19,59
2019-05-26,60
2019-06-02,64
2019-06-09,60
2019-06-16,44
2019-06-23,68
2019-06-30,67
2019-07-07,97
2019-07-14,69
2019-07-21,61
2019-07-28,51
2019-08-04,62
2019-08-11,56
2019-08-18,64
2019-08-25,72
2019-09-01,75
2019-09-08,72
2019-09-15,68
2019-09-22,74
2019-09-29,89
2019-10-06,64
2019-10-13,77
2019-10-20,83
2019-10-27,89
2019-11-03,72
2019-11-10,78
2019-11-17,66
2019-11-24,82
2019-12-01,86
2019-12-08,67
2019-12-15,77
2019-12-22,71
2019-12-29,63
2020-01-05,72
2020-01-12,64
2020-01-19,86
2020-01-26,74
2020-02-02,89
2020-02-09,74
2020-02-16,81
2020-02-23,63
2020-03-01,60
2020-03-08,82
