date,Crafts_MX
2018-01-07,27
2018-01-14,52
2018-01-21,62
2018-01-28,65
2018-02-04,68
2018-02-11,44
2018-02-18,47
2018-02-25,62
2018-03-04,87
2018-03-11,100
2018-03-18,78
2018-03-25,28
2018-04-01,25
2018-04-08,89
2018-04-15,68
2018-04-22,49
2018-04-29,57
2018-05-06,40
2018-05-13,46
2018-05-20,47
2018-05-27,54
2018-06-03,54
2018-06-10,47
2018-06-17,37
2018-06-24,34
2018-07-01,21
2018-07-08,20
2018-07-15,20
2018-07-22,22
2018-07-29,31
2018-08-05,28
2018-08-12,38
2018-08-19,43
2018-08-26,26
2018-09-02,57
2018-09-09,34
2018-09-16,39
2018-09-23,33
2018-09-30,35
2018-10-07,48
2018-10-14,42
2018-10-21,42
2018-10-28,47
2018-11-04,48
2018-11-11,43
2018-11-18,39
2018-11-25,45
2018-12-02,42
2018-12-09,31
2018-12-16,23
2018-12-23,26
2018-12-30,19
2019-01-06,44
2019-01-13,50
2019-01-20,41
2019-01-27,59
2019-02-03,63
2019-02-10,49
2019-02-17,47
2019-02-24,45
2019-03-03,55
2019-03-10,43
2019-03-17,54
2019-03-24,52
2019-03-31,42
2019-04-07,37
2019-04-14,32
2019-04-21,27
2019-04-28,31
2019-05-05,47
2019-05-12,44
2019-05-19,62
2019-05-26,55
2019-06-02,53
2019-06-09,40
2019-06-16,44
2019-06-23,32
2019-06-30,31
2019-07-07,36
2019-07-14,35
2019-07-21,38
2019-07-28,31
2019-08-04,28
2019-08-11,29
2019-08-18,37
2019-08-25,40
2019-09-01,46
2019-09-08,54
2019-09-15,39
2019-09-22,42
2019-09-29,41
2019-10-06,50
2019-10-13,36
2019-10-20,51
2019-10-27,36
2019-11-03,30
2019-11-10,43
2019-11-17,40
2019-11-24,48
2019-12-01,30
2019-12-08,33
2019-12-15,27
2019-12-22,24
2019-12-29,21
2020-01-05,39
2020-01-12,52
2020-01-19,51
2020-01-26,52
2020-02-02,46
2020-02-09,47
2020-02-16,48
2020-02-23,60
2020-03-01,46
2020-03-08,32
