date,Sports_AE
2018-01-07,47
2018-01-14,46
2018-01-21,62
2018-01-28,62
2018-02-04,59
2018-02-11,56
2018-02-18,66
2018-02-25,59
2018-03-04,69
2018-03-11,58
2018-03-18,54
2018-03-25,49
2018-04-01,64
2018-04-08,74
2018-04-15,59
2018-04-22,59
2018-04-29,63
2018-05-06,52
2018-05-13,55
2018-05-20,56
2018-05-27,57
2018-06-03,56
2018-06-10,85
2018-06-17,100
2018-06-24,78
2018-07-01,72
2018-07-08,58
2018-07-15,54
2018-07-22,40
2018-07-29,39
2018-08-05,42
2018-08-12,42
2018-08-19,49
2018-08-26,52
2018-09-02,45
2018-09-09,53
2018-09-16,98
2018-09-23,99
2018-09-30,51
2018-10-07,56
2018-10-14,54
2018-10-21,61
2018-10-28,61
2018-11-04,57
2018-11-11,47
2018-11-18,59
2018-11-25,42
2018-12-02,47
2018-12-09,52
2018-12-16,51
2018-12-23,44
2018-12-30,54
2019-01-06,64
2019-01-13,68
2019-01-20,62
2019-01-27,68
2019-02-03,58
2019-02-10,63
2019-02-17,55
2019-02-24,61
2019-03-03,52
2019-03-10,60
2019-03-17,49
2019-03-24,70
2019-03-31,51
2019-04-07,66
2019-04-14,60
2019-04-21,56
2019-04-28,56
2019-05-05,55
2019-05-12,60
2019-05-19,47
2019-05-26,60
2019-06-02,61
2019-06-09,79
2019-06-16,97
2019-06-23,80
2019-06-30,76
2019-07-07,57
2019-07-14,49
2019-07-21,47
2019-07-28,40
2019-08-04,43
2019-08-11,44
2019-08-18,47
2019-08-25,46
2019-09-01,55
2019-09-08,50
2019-09-15,43
2019-09-22,53
2019-09-29,59
2019-10-06,55
2019-10-13,52
2019-10-20,66
2019-10-27,67
2019-11-03,69
2019-11-10,52
2019-11-17,61
2019-11-24,62
2019-12-01,60
2019-12-08,63
2019-12-15,65
2019-12-22,60
2019-12-29,48
2020-01-05,59
2020-01-12,60
2020-01-19,68
2020-01-26,70
2020-02-02,64
2020-02-09,54
2020-02-16,64
2020-02-23,66
2020-03-01,64
2020-03-08,49
