date,Performing_Art_NG
2018-01-07,39
2018-01-14,18
2018-01-21,37
2018-01-28,19
2018-02-04,0
2018-02-11,19
2018-02-18,19
2018-02-25,0
2018-03-04,37
2018-03-11,39
2018-03-18,0
2018-03-25,21
2018-04-01,39
2018-04-08,19
2018-04-15,20
2018-04-22,21
2018-04-29,20
2018-05-06,20
2018-05-13,20
2018-05-20,0
2018-05-27,0
2018-06-03,20
2018-06-10,80
2018-06-17,20
2018-06-24,0
2018-07-01,39
2018-07-08,0
2018-07-15,0
2018-07-22,39
2018-07-29,0
2018-08-05,0
2018-08-12,18
2018-08-19,58
2018-08-26,0
2018-09-02,38
2018-09-09,0
2018-09-16,36
2018-09-23,0
2018-09-30,0
2018-10-07,19
2018-10-14,19
2018-10-21,18
2018-10-28,18
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,39
2018-12-09,0
2018-12-16,20
2018-12-23,0
2018-12-30,21
2019-01-06,0
2019-01-13,19
2019-01-20,18
2019-01-27,19
2019-02-03,58
2019-02-10,18
2019-02-17,18
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,20
2019-04-07,0
2019-04-14,20
2019-04-21,21
2019-04-28,21
2019-05-05,0
2019-05-12,100
2019-05-19,0
2019-05-26,20
2019-06-02,0
2019-06-09,0
2019-06-16,20
2019-06-23,20
2019-06-30,0
2019-07-07,0
2019-07-14,58
2019-07-21,38
2019-07-28,38
2019-08-04,18
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,37
2019-09-08,0
2019-09-15,54
2019-09-22,0
2019-09-29,0
2019-10-06,36
2019-10-13,18
2019-10-20,38
2019-10-27,75
2019-11-03,18
2019-11-10,0
2019-11-17,38
2019-11-24,36
2019-12-01,72
2019-12-08,19
2019-12-15,37
2019-12-22,20
2019-12-29,0
2020-01-05,17
2020-01-12,34
2020-01-19,34
2020-01-26,51
2020-02-02,35
2020-02-09,0
2020-02-16,0
2020-02-23,17
2020-03-01,0
2020-03-08,33
