date,Learning_AR
2018-01-07,37
2018-01-14,52
2018-01-21,45
2018-01-28,38
2018-02-04,53
2018-02-11,30
2018-02-18,55
2018-02-25,66
2018-03-04,61
2018-03-11,54
2018-03-18,77
2018-03-25,44
2018-04-01,52
2018-04-08,61
2018-04-15,53
2018-04-22,76
2018-04-29,59
2018-05-06,43
2018-05-13,66
2018-05-20,50
2018-05-27,49
2018-06-03,73
2018-06-10,53
2018-06-17,60
2018-06-24,50
2018-07-01,55
2018-07-08,76
2018-07-15,61
2018-07-22,45
2018-07-29,69
2018-08-05,50
2018-08-12,45
2018-08-19,76
2018-08-26,68
2018-09-02,72
2018-09-09,68
2018-09-16,50
2018-09-23,49
2018-09-30,57
2018-10-07,46
2018-10-14,60
2018-10-21,58
2018-10-28,49
2018-11-04,54
2018-11-11,46
2018-11-18,33
2018-11-25,53
2018-12-02,49
2018-12-09,47
2018-12-16,54
2018-12-23,37
2018-12-30,30
2019-01-06,52
2019-01-13,58
2019-01-20,49
2019-01-27,29
2019-02-03,29
2019-02-10,51
2019-02-17,45
2019-02-24,59
2019-03-03,60
2019-03-10,70
2019-03-17,47
2019-03-24,69
2019-03-31,86
2019-04-07,73
2019-04-14,47
2019-04-21,50
2019-04-28,70
2019-05-05,65
2019-05-12,78
2019-05-19,62
2019-05-26,77
2019-06-02,60
2019-06-09,97
2019-06-16,80
2019-06-23,60
2019-06-30,66
2019-07-07,60
2019-07-14,58
2019-07-21,70
2019-07-28,46
2019-08-04,63
2019-08-11,50
2019-08-18,83
2019-08-25,64
2019-09-01,73
2019-09-08,60
2019-09-15,66
2019-09-22,100
2019-09-29,78
2019-10-06,56
2019-10-13,74
2019-10-20,71
2019-10-27,65
2019-11-03,68
2019-11-10,73
2019-11-17,98
2019-11-24,71
2019-12-01,65
2019-12-08,79
2019-12-15,53
2019-12-22,48
2019-12-29,43
2020-01-05,53
2020-01-12,56
2020-01-19,39
2020-01-26,70
2020-02-02,58
2020-02-09,77
2020-02-16,76
2020-02-23,85
2020-03-01,62
2020-03-08,83
