date,Cooking_HK
2018-01-07,48
2018-01-14,74
2018-01-21,70
2018-01-28,87
2018-02-04,69
2018-02-11,62
2018-02-18,80
2018-02-25,63
2018-03-04,60
2018-03-11,61
2018-03-18,78
2018-03-25,84
2018-04-01,52
2018-04-08,70
2018-04-15,60
2018-04-22,66
2018-04-29,73
2018-05-06,74
2018-05-13,52
2018-05-20,81
2018-05-27,92
2018-06-03,78
2018-06-10,58
2018-06-17,78
2018-06-24,60
2018-07-01,67
2018-07-08,66
2018-07-15,91
2018-07-22,56
2018-07-29,67
2018-08-05,64
2018-08-12,77
2018-08-19,76
2018-08-26,70
2018-09-02,69
2018-09-09,57
2018-09-16,69
2018-09-23,59
2018-09-30,58
2018-10-07,77
2018-10-14,58
2018-10-21,67
2018-10-28,65
2018-11-04,78
2018-11-11,46
2018-11-18,100
2018-11-25,61
2018-12-02,63
2018-12-09,67
2018-12-16,64
2018-12-23,84
2018-12-30,71
2019-01-06,82
2019-01-13,66
2019-01-20,69
2019-01-27,59
2019-02-03,73
2019-02-10,60
2019-02-17,61
2019-02-24,62
2019-03-03,45
2019-03-10,64
2019-03-17,44
2019-03-24,48
2019-03-31,65
2019-04-07,78
2019-04-14,51
2019-04-21,74
2019-04-28,73
2019-05-05,72
2019-05-12,73
2019-05-19,72
2019-05-26,55
2019-06-02,65
2019-06-09,64
2019-06-16,73
2019-06-23,68
2019-06-30,64
2019-07-07,60
2019-07-14,64
2019-07-21,79
2019-07-28,71
2019-08-04,57
2019-08-11,65
2019-08-18,74
2019-08-25,56
2019-09-01,64
2019-09-08,63
2019-09-15,71
2019-09-22,66
2019-09-29,53
2019-10-06,63
2019-10-13,61
2019-10-20,89
2019-10-27,82
2019-11-03,59
2019-11-10,52
2019-11-17,63
2019-11-24,68
2019-12-01,65
2019-12-08,66
2019-12-15,64
2019-12-22,90
2019-12-29,87
2020-01-05,75
2020-01-12,78
2020-01-19,64
2020-01-26,56
2020-02-02,76
2020-02-09,88
2020-02-16,76
2020-02-23,74
2020-03-01,79
2020-03-08,84
