date,Crafts_DK
2018-01-07,56
2018-01-14,75
2018-01-21,50
2018-01-28,43
2018-02-04,60
2018-02-11,57
2018-02-18,51
2018-02-25,40
2018-03-04,43
2018-03-11,49
2018-03-18,98
2018-03-25,82
2018-04-01,81
2018-04-08,66
2018-04-15,52
2018-04-22,49
2018-04-29,65
2018-05-06,85
2018-05-13,48
2018-05-20,35
2018-05-27,68
2018-06-03,76
2018-06-10,51
2018-06-17,76
2018-06-24,60
2018-07-01,48
2018-07-08,49
2018-07-15,44
2018-07-22,39
2018-07-29,65
2018-08-05,38
2018-08-12,60
2018-08-19,60
2018-08-26,43
2018-09-02,73
2018-09-09,99
2018-09-16,76
2018-09-23,54
2018-09-30,53
2018-10-07,50
2018-10-14,54
2018-10-21,52
2018-10-28,44
2018-11-04,60
2018-11-11,82
2018-11-18,65
2018-11-25,53
2018-12-02,77
2018-12-09,82
2018-12-16,43
2018-12-23,79
2018-12-30,92
2019-01-06,54
2019-01-13,57
2019-01-20,77
2019-01-27,73
2019-02-03,77
2019-02-10,72
2019-02-17,90
2019-02-24,78
2019-03-03,73
2019-03-10,100
2019-03-17,58
2019-03-24,96
2019-03-31,73
2019-04-07,90
2019-04-14,64
2019-04-21,58
2019-04-28,74
2019-05-05,80
2019-05-12,55
2019-05-19,77
2019-05-26,47
2019-06-02,56
2019-06-09,43
2019-06-16,54
2019-06-23,40
2019-06-30,76
2019-07-07,53
2019-07-14,60
2019-07-21,53
2019-07-28,64
2019-08-04,68
2019-08-11,98
2019-08-18,64
2019-08-25,51
2019-09-01,52
2019-09-08,82
2019-09-15,57
2019-09-22,69
2019-09-29,65
2019-10-06,68
2019-10-13,55
2019-10-20,39
2019-10-27,81
2019-11-03,58
2019-11-10,73
2019-11-17,51
2019-11-24,49
2019-12-01,69
2019-12-08,51
2019-12-15,45
2019-12-22,56
2019-12-29,50
2020-01-05,61
2020-01-12,59
2020-01-19,59
2020-01-26,73
2020-02-02,52
2020-02-09,72
2020-02-16,70
2020-02-23,54
2020-03-01,54
2020-03-08,72
