date,Music_CA
2018-01-07,89
2018-01-14,90
2018-01-21,90
2018-01-28,90
2018-02-04,82
2018-02-11,87
2018-02-18,86
2018-02-25,86
2018-03-04,82
2018-03-11,87
2018-03-18,86
2018-03-25,88
2018-04-01,85
2018-04-08,81
2018-04-15,86
2018-04-22,80
2018-04-29,85
2018-05-06,88
2018-05-13,82
2018-05-20,89
2018-05-27,85
2018-06-03,87
2018-06-10,87
2018-06-17,88
2018-06-24,83
2018-07-01,78
2018-07-08,81
2018-07-15,82
2018-07-22,80
2018-07-29,84
2018-08-05,83
2018-08-12,79
2018-08-19,82
2018-08-26,81
2018-09-02,77
2018-09-09,88
2018-09-16,86
2018-09-23,83
2018-09-30,83
2018-10-07,87
2018-10-14,83
2018-10-21,79
2018-10-28,88
2018-11-04,90
2018-11-11,89
2018-11-18,86
2018-11-25,96
2018-12-02,97
2018-12-09,100
2018-12-16,98
2018-12-23,100
2018-12-30,84
2019-01-06,80
2019-01-13,86
2019-01-20,84
2019-01-27,85
2019-02-03,82
2019-02-10,83
2019-02-17,80
2019-02-24,86
2019-03-03,84
2019-03-10,78
2019-03-17,86
2019-03-24,85
2019-03-31,85
2019-04-07,84
2019-04-14,83
2019-04-21,78
2019-04-28,87
2019-05-05,80
2019-05-12,82
2019-05-19,79
2019-05-26,83
2019-06-02,84
2019-06-09,79
2019-06-16,85
2019-06-23,82
2019-06-30,82
2019-07-07,82
2019-07-14,79
2019-07-21,78
2019-07-28,81
2019-08-04,80
2019-08-11,77
2019-08-18,77
2019-08-25,78
2019-09-01,80
2019-09-08,83
2019-09-15,81
2019-09-22,80
2019-09-29,80
2019-10-06,75
2019-10-13,79
2019-10-20,76
2019-10-27,82
2019-11-03,83
2019-11-10,84
2019-11-17,87
2019-11-24,91
2019-12-01,95
2019-12-08,92
2019-12-15,95
2019-12-22,93
2019-12-29,79
2020-01-05,84
2020-01-12,81
2020-01-19,83
2020-01-26,84
2020-02-02,80
2020-02-09,79
2020-02-16,84
2020-02-23,81
2020-03-01,82
2020-03-08,77
