date,Pets_ZA
2018-01-07,84
2018-01-14,69
2018-01-21,71
2018-01-28,69
2018-02-04,70
2018-02-11,68
2018-02-18,57
2018-02-25,72
2018-03-04,61
2018-03-11,56
2018-03-18,61
2018-03-25,62
2018-04-01,63
2018-04-08,75
2018-04-15,59
2018-04-22,49
2018-04-29,68
2018-05-06,69
2018-05-13,56
2018-05-20,54
2018-05-27,72
2018-06-03,59
2018-06-10,59
2018-06-17,58
2018-06-24,71
2018-07-01,61
2018-07-08,58
2018-07-15,74
2018-07-22,83
2018-07-29,65
2018-08-05,82
2018-08-12,64
2018-08-19,69
2018-08-26,54
2018-09-02,54
2018-09-09,57
2018-09-16,53
2018-09-23,65
2018-09-30,71
2018-10-07,81
2018-10-14,72
2018-10-21,69
2018-10-28,77
2018-11-04,76
2018-11-11,75
2018-11-18,61
2018-11-25,73
2018-12-02,62
2018-12-09,75
2018-12-16,91
2018-12-23,94
2018-12-30,90
2019-01-06,58
2019-01-13,76
2019-01-20,69
2019-01-27,63
2019-02-03,71
2019-02-10,71
2019-02-17,78
2019-02-24,76
2019-03-03,69
2019-03-10,54
2019-03-17,67
2019-03-24,76
2019-03-31,65
2019-04-07,71
2019-04-14,77
2019-04-21,82
2019-04-28,66
2019-05-05,66
2019-05-12,61
2019-05-19,70
2019-05-26,64
2019-06-02,64
2019-06-09,74
2019-06-16,71
2019-06-23,92
2019-06-30,64
2019-07-07,77
2019-07-14,73
2019-07-21,66
2019-07-28,62
2019-08-04,88
2019-08-11,75
2019-08-18,72
2019-08-25,72
2019-09-01,58
2019-09-08,63
2019-09-15,63
2019-09-22,82
2019-09-29,53
2019-10-06,78
2019-10-13,69
2019-10-20,71
2019-10-27,71
2019-11-03,67
2019-11-10,69
2019-11-17,78
2019-11-24,77
2019-12-01,63
2019-12-08,80
2019-12-15,81
2019-12-22,100
2019-12-29,90
2020-01-05,79
2020-01-12,65
2020-01-19,70
2020-01-26,80
2020-02-02,68
2020-02-09,77
2020-02-16,81
2020-02-23,82
2020-03-01,79
2020-03-08,54
