date,Performing_Art_MX
2018-01-07,75
2018-01-14,59
2018-01-21,67
2018-01-28,62
2018-02-04,67
2018-02-11,38
2018-02-18,47
2018-02-25,74
2018-03-04,42
2018-03-11,84
2018-03-18,45
2018-03-25,47
2018-04-01,31
2018-04-08,90
2018-04-15,67
2018-04-22,48
2018-04-29,31
2018-05-06,50
2018-05-13,85
2018-05-20,67
2018-05-27,67
2018-06-03,73
2018-06-10,61
2018-06-17,24
2018-06-24,39
2018-07-01,43
2018-07-08,30
2018-07-15,48
2018-07-22,16
2018-07-29,20
2018-08-05,25
2018-08-12,25
2018-08-19,78
2018-08-26,89
2018-09-02,93
2018-09-09,47
2018-09-16,61
2018-09-23,43
2018-09-30,67
2018-10-07,91
2018-10-14,53
2018-10-21,63
2018-10-28,42
2018-11-04,100
2018-11-11,92
2018-11-18,61
2018-11-25,52
2018-12-02,74
2018-12-09,74
2018-12-16,51
2018-12-23,19
2018-12-30,36
2019-01-06,40
2019-01-13,34
2019-01-20,81
2019-01-27,52
2019-02-03,61
2019-02-10,55
2019-02-17,27
2019-02-24,50
2019-03-03,51
2019-03-10,60
2019-03-17,39
2019-03-24,71
2019-03-31,70
2019-04-07,72
2019-04-14,23
2019-04-21,78
2019-04-28,54
2019-05-05,25
2019-05-12,43
2019-05-19,60
2019-05-26,68
2019-06-02,68
2019-06-09,28
2019-06-16,52
2019-06-23,34
2019-06-30,54
2019-07-07,34
2019-07-14,30
2019-07-21,21
2019-07-28,46
2019-08-04,60
2019-08-11,34
2019-08-18,37
2019-08-25,77
2019-09-01,35
2019-09-08,56
2019-09-15,59
2019-09-22,42
2019-09-29,73
2019-10-06,60
2019-10-13,64
2019-10-20,54
2019-10-27,43
2019-11-03,60
2019-11-10,21
2019-11-17,39
2019-11-24,59
2019-12-01,35
2019-12-08,51
2019-12-15,48
2019-12-22,32
2019-12-29,25
2020-01-05,30
2020-01-12,55
2020-01-19,72
2020-01-26,52
2020-02-02,57
2020-02-09,58
2020-02-16,54
2020-02-23,49
2020-03-01,53
2020-03-08,54
