date,Learning_CZ
2018-01-07,67
2018-01-14,82
2018-01-21,85
2018-01-28,76
2018-02-04,56
2018-02-11,68
2018-02-18,71
2018-02-25,68
2018-03-04,62
2018-03-11,54
2018-03-18,76
2018-03-25,50
2018-04-01,62
2018-04-08,53
2018-04-15,87
2018-04-22,28
2018-04-29,51
2018-05-06,53
2018-05-13,47
2018-05-20,53
2018-05-27,56
2018-06-03,54
2018-06-10,65
2018-06-17,25
2018-06-24,64
2018-07-01,57
2018-07-08,47
2018-07-15,63
2018-07-22,55
2018-07-29,86
2018-08-05,62
2018-08-12,51
2018-08-19,62
2018-08-26,68
2018-09-02,35
2018-09-09,99
2018-09-16,64
2018-09-23,61
2018-09-30,73
2018-10-07,39
2018-10-14,63
2018-10-21,90
2018-10-28,44
2018-11-04,50
2018-11-11,60
2018-11-18,76
2018-11-25,100
2018-12-02,68
2018-12-09,41
2018-12-16,29
2018-12-23,24
2018-12-30,38
2019-01-06,53
2019-01-13,52
2019-01-20,66
2019-01-27,70
2019-02-03,76
2019-02-10,90
2019-02-17,43
2019-02-24,71
2019-03-03,40
2019-03-10,62
2019-03-17,76
2019-03-24,64
2019-03-31,66
2019-04-07,71
2019-04-14,68
2019-04-21,50
2019-04-28,43
2019-05-05,33
2019-05-12,61
2019-05-19,55
2019-05-26,63
2019-06-02,60
2019-06-09,75
2019-06-16,64
2019-06-23,60
2019-06-30,67
2019-07-07,38
2019-07-14,50
2019-07-21,40
2019-07-28,50
2019-08-04,56
2019-08-11,65
2019-08-18,35
2019-08-25,45
2019-09-01,59
2019-09-08,53
2019-09-15,50
2019-09-22,68
2019-09-29,79
2019-10-06,71
2019-10-13,77
2019-10-20,55
2019-10-27,56
2019-11-03,73
2019-11-10,67
2019-11-17,73
2019-11-24,77
2019-12-01,34
2019-12-08,44
2019-12-15,46
2019-12-22,54
2019-12-29,36
2020-01-05,62
2020-01-12,68
2020-01-19,93
2020-01-26,67
2020-02-02,56
2020-02-09,92
2020-02-16,85
2020-02-23,82
2020-03-01,46
2020-03-08,67
