date,Performing_Art_MY
2018-01-07,41
2018-01-14,21
2018-01-21,62
2018-01-28,63
2018-02-04,0
2018-02-11,0
2018-02-18,41
2018-02-25,20
2018-03-04,40
2018-03-11,20
2018-03-18,40
2018-03-25,100
2018-04-01,0
2018-04-08,59
2018-04-15,40
2018-04-22,40
2018-04-29,0
2018-05-06,20
2018-05-13,0
2018-05-20,20
2018-05-27,20
2018-06-03,20
2018-06-10,21
2018-06-17,60
2018-06-24,19
2018-07-01,55
2018-07-08,19
2018-07-15,39
2018-07-22,59
2018-07-29,19
2018-08-05,57
2018-08-12,57
2018-08-19,81
2018-08-26,20
2018-09-02,19
2018-09-09,19
2018-09-16,18
2018-09-23,35
2018-09-30,51
2018-10-07,86
2018-10-14,35
2018-10-21,70
2018-10-28,54
2018-11-04,74
2018-11-11,56
2018-11-18,0
2018-11-25,19
2018-12-02,37
2018-12-09,38
2018-12-16,0
2018-12-23,39
2018-12-30,38
2019-01-06,56
2019-01-13,19
2019-01-20,38
2019-01-27,19
2019-02-03,0
2019-02-10,0
2019-02-17,37
2019-02-24,54
2019-03-03,55
2019-03-10,37
2019-03-17,19
2019-03-24,36
2019-03-31,18
2019-04-07,18
2019-04-14,55
2019-04-21,37
2019-04-28,56
2019-05-05,18
2019-05-12,38
2019-05-19,19
2019-05-26,18
2019-06-02,43
2019-06-09,0
2019-06-16,0
2019-06-23,17
2019-06-30,34
2019-07-07,17
2019-07-14,35
2019-07-21,0
2019-07-28,18
2019-08-04,0
2019-08-11,54
2019-08-18,52
2019-08-25,18
2019-09-01,52
2019-09-08,50
2019-09-15,16
2019-09-22,83
2019-09-29,50
2019-10-06,50
2019-10-13,0
2019-10-20,68
2019-10-27,0
2019-11-03,84
2019-11-10,67
2019-11-17,0
2019-11-24,67
2019-12-01,0
2019-12-08,68
2019-12-15,33
2019-12-22,51
2019-12-29,50
2020-01-05,16
2020-01-12,0
2020-01-19,84
2020-01-26,34
2020-02-02,81
2020-02-09,48
2020-02-16,63
2020-02-23,15
2020-03-01,45
2020-03-08,30
