date,Arts_HK
2018-01-07,58
2018-01-14,69
2018-01-21,68
2018-01-28,65
2018-02-04,53
2018-02-11,46
2018-02-18,59
2018-02-25,59
2018-03-04,59
2018-03-11,76
2018-03-18,59
2018-03-25,100
2018-04-01,61
2018-04-08,57
2018-04-15,58
2018-04-22,54
2018-04-29,53
2018-05-06,69
2018-05-13,67
2018-05-20,61
2018-05-27,69
2018-06-03,45
2018-06-10,58
2018-06-17,52
2018-06-24,54
2018-07-01,47
2018-07-08,49
2018-07-15,41
2018-07-22,66
2018-07-29,52
2018-08-05,42
2018-08-12,46
2018-08-19,56
2018-08-26,62
2018-09-02,66
2018-09-09,54
2018-09-16,45
2018-09-23,69
2018-09-30,60
2018-10-07,77
2018-10-14,54
2018-10-21,43
2018-10-28,56
2018-11-04,69
2018-11-11,66
2018-11-18,54
2018-11-25,56
2018-12-02,51
2018-12-09,47
2018-12-16,51
2018-12-23,41
2018-12-30,40
2019-01-06,60
2019-01-13,68
2019-01-20,49
2019-01-27,43
2019-02-03,37
2019-02-10,45
2019-02-17,45
2019-02-24,50
2019-03-03,46
2019-03-10,57
2019-03-17,56
2019-03-24,68
2019-03-31,70
2019-04-07,49
2019-04-14,48
2019-04-21,60
2019-04-28,52
2019-05-05,63
2019-05-12,68
2019-05-19,55
2019-05-26,54
2019-06-02,51
2019-06-09,43
2019-06-16,53
2019-06-23,56
2019-06-30,44
2019-07-07,49
2019-07-14,48
2019-07-21,42
2019-07-28,40
2019-08-04,38
2019-08-11,39
2019-08-18,55
2019-08-25,49
2019-09-01,51
2019-09-08,50
2019-09-15,61
2019-09-22,75
2019-09-29,48
2019-10-06,54
2019-10-13,63
2019-10-20,59
2019-10-27,63
2019-11-03,55
2019-11-10,40
2019-11-17,49
2019-11-24,47
2019-12-01,53
2019-12-08,63
2019-12-15,57
2019-12-22,46
2019-12-29,36
2020-01-05,60
2020-01-12,62
2020-01-19,45
2020-01-26,33
2020-02-02,37
2020-02-09,44
2020-02-16,53
2020-02-23,50
2020-03-01,45
2020-03-08,49
