date,Sports_TH
2018-01-07,84
2018-01-14,89
2018-01-21,91
2018-01-28,79
2018-02-04,80
2018-02-11,73
2018-02-18,78
2018-02-25,74
2018-03-04,79
2018-03-11,76
2018-03-18,77
2018-03-25,69
2018-04-01,71
2018-04-08,88
2018-04-15,70
2018-04-22,74
2018-04-29,73
2018-05-06,70
2018-05-13,74
2018-05-20,83
2018-05-27,75
2018-06-03,85
2018-06-10,86
2018-06-17,77
2018-06-24,78
2018-07-01,83
2018-07-08,74
2018-07-15,68
2018-07-22,74
2018-07-29,71
2018-08-05,85
2018-08-12,83
2018-08-19,100
2018-08-26,95
2018-09-02,72
2018-09-09,69
2018-09-16,74
2018-09-23,74
2018-09-30,71
2018-10-07,69
2018-10-14,64
2018-10-21,68
2018-10-28,71
2018-11-04,74
2018-11-11,73
2018-11-18,70
2018-11-25,72
2018-12-02,72
2018-12-09,76
2018-12-16,83
2018-12-23,77
2018-12-30,79
2019-01-06,81
2019-01-13,85
2019-01-20,82
2019-01-27,71
2019-02-03,72
2019-02-10,66
2019-02-17,68
2019-02-24,72
2019-03-03,69
2019-03-10,72
2019-03-17,64
2019-03-24,56
2019-03-31,67
2019-04-07,67
2019-04-14,70
2019-04-21,65
2019-04-28,62
2019-05-05,76
2019-05-12,72
2019-05-19,71
2019-05-26,73
2019-06-02,72
2019-06-09,71
2019-06-16,64
2019-06-23,67
2019-06-30,70
2019-07-07,68
2019-07-14,71
2019-07-21,69
2019-07-28,79
2019-08-04,84
2019-08-11,73
2019-08-18,76
2019-08-25,71
2019-09-01,65
2019-09-08,65
2019-09-15,68
2019-09-22,64
2019-09-29,65
2019-10-06,63
2019-10-13,65
2019-10-20,71
2019-10-27,75
2019-11-03,75
2019-11-10,75
2019-11-17,74
2019-11-24,76
2019-12-01,87
2019-12-08,90
2019-12-15,73
2019-12-22,71
2019-12-29,66
2020-01-05,71
2020-01-12,74
2020-01-19,67
2020-01-26,65
2020-02-02,60
2020-02-09,63
2020-02-16,63
2020-02-23,68
2020-03-01,58
2020-03-08,59
