date,Sports_NL
2018-01-07,82
2018-01-14,77
2018-01-21,83
2018-01-28,83
2018-02-04,88
2018-02-11,100
2018-02-18,89
2018-02-25,84
2018-03-04,81
2018-03-11,82
2018-03-18,81
2018-03-25,73
2018-04-01,78
2018-04-08,80
2018-04-15,81
2018-04-22,68
2018-04-29,73
2018-05-06,74
2018-05-13,77
2018-05-20,75
2018-05-27,73
2018-06-03,80
2018-06-10,84
2018-06-17,75
2018-06-24,76
2018-07-01,80
2018-07-08,78
2018-07-15,74
2018-07-22,66
2018-07-29,71
2018-08-05,78
2018-08-12,79
2018-08-19,74
2018-08-26,80
2018-09-02,83
2018-09-09,81
2018-09-16,79
2018-09-23,80
2018-09-30,78
2018-10-07,79
2018-10-14,80
2018-10-21,73
2018-10-28,76
2018-11-04,79
2018-11-11,77
2018-11-18,73
2018-11-25,75
2018-12-02,73
2018-12-09,73
2018-12-16,69
2018-12-23,71
2018-12-30,74
2019-01-06,80
2019-01-13,76
2019-01-20,79
2019-01-27,86
2019-02-03,89
2019-02-10,83
2019-02-17,80
2019-02-24,85
2019-03-03,86
2019-03-10,85
2019-03-17,80
2019-03-24,79
2019-03-31,85
2019-04-07,86
2019-04-14,79
2019-04-21,70
2019-04-28,84
2019-05-05,83
2019-05-12,81
2019-05-19,74
2019-05-26,77
2019-06-02,83
2019-06-09,81
2019-06-16,80
2019-06-23,78
2019-06-30,81
2019-07-07,74
2019-07-14,70
2019-07-21,72
2019-07-28,77
2019-08-04,78
2019-08-11,76
2019-08-18,84
2019-08-25,85
2019-09-01,91
2019-09-08,75
2019-09-15,83
2019-09-22,78
2019-09-29,88
2019-10-06,93
2019-10-13,80
2019-10-20,87
2019-10-27,88
2019-11-03,96
2019-11-10,83
2019-11-17,86
2019-11-24,85
2019-12-01,82
2019-12-08,80
2019-12-15,87
2019-12-22,71
2019-12-29,70
2020-01-05,82
2020-01-12,81
2020-01-19,95
2020-01-26,93
2020-02-02,95
2020-02-09,83
2020-02-16,87
2020-02-23,87
2020-03-01,90
2020-03-08,73
