date,Game_NZ
2018-01-07,58
2018-01-14,59
2018-01-21,60
2018-01-28,56
2018-02-04,65
2018-02-11,60
2018-02-18,66
2018-02-25,70
2018-03-04,70
2018-03-11,69
2018-03-18,75
2018-03-25,70
2018-04-01,90
2018-04-08,100
2018-04-15,82
2018-04-22,70
2018-04-29,71
2018-05-06,80
2018-05-13,82
2018-05-20,79
2018-05-27,87
2018-06-03,91
2018-06-10,87
2018-06-17,83
2018-06-24,90
2018-07-01,88
2018-07-08,72
2018-07-15,70
2018-07-22,67
2018-07-29,76
2018-08-05,74
2018-08-12,78
2018-08-19,77
2018-08-26,85
2018-09-02,83
2018-09-09,77
2018-09-16,71
2018-09-23,77
2018-09-30,65
2018-10-07,57
2018-10-14,68
2018-10-21,73
2018-10-28,77
2018-11-04,67
2018-11-11,72
2018-11-18,72
2018-11-25,74
2018-12-02,72
2018-12-09,67
2018-12-16,61
2018-12-23,63
2018-12-30,56
2019-01-06,50
2019-01-13,48
2019-01-20,51
2019-01-27,51
2019-02-03,57
2019-02-10,54
2019-02-17,59
2019-02-24,62
2019-03-03,62
2019-03-10,61
2019-03-17,60
2019-03-24,70
2019-03-31,70
2019-04-07,73
2019-04-14,65
2019-04-21,64
2019-04-28,67
2019-05-05,70
2019-05-12,70
2019-05-19,74
2019-05-26,75
2019-06-02,76
2019-06-09,84
2019-06-16,80
2019-06-23,90
2019-06-30,84
2019-07-07,88
2019-07-14,73
2019-07-21,80
2019-07-28,76
2019-08-04,82
2019-08-11,79
2019-08-18,79
2019-08-25,78
2019-09-01,75
2019-09-08,73
2019-09-15,90
2019-09-22,91
2019-09-29,77
2019-10-06,68
2019-10-13,86
2019-10-20,85
2019-10-27,79
2019-11-03,71
2019-11-10,62
2019-11-17,69
2019-11-24,67
2019-12-01,66
2019-12-08,72
2019-12-15,64
2019-12-22,63
2019-12-29,62
2020-01-05,54
2020-01-12,51
2020-01-19,49
2020-01-26,57
2020-02-02,54
2020-02-09,62
2020-02-16,67
2020-02-23,60
2020-03-01,65
2020-03-08,71
