date,Arts_JP
2018-01-07,83
2018-01-14,85
2018-01-21,84
2018-01-28,80
2018-02-04,80
2018-02-11,68
2018-02-18,80
2018-02-25,83
2018-03-04,85
2018-03-11,86
2018-03-18,80
2018-03-25,79
2018-04-01,81
2018-04-08,82
2018-04-15,87
2018-04-22,87
2018-04-29,81
2018-05-06,88
2018-05-13,85
2018-05-20,84
2018-05-27,92
2018-06-03,84
2018-06-10,91
2018-06-17,83
2018-06-24,89
2018-07-01,76
2018-07-08,98
2018-07-15,82
2018-07-22,90
2018-07-29,95
2018-08-05,98
2018-08-12,89
2018-08-19,91
2018-08-26,97
2018-09-02,91
2018-09-09,98
2018-09-16,92
2018-09-23,84
2018-09-30,90
2018-10-07,92
2018-10-14,92
2018-10-21,84
2018-10-28,90
2018-11-04,86
2018-11-11,84
2018-11-18,77
2018-11-25,84
2018-12-02,74
2018-12-09,72
2018-12-16,79
2018-12-23,63
2018-12-30,61
2019-01-06,87
2019-01-13,81
2019-01-20,85
2019-01-27,42
2019-02-03,32
2019-02-10,30
2019-02-17,37
2019-02-24,36
2019-03-03,36
2019-03-10,30
2019-03-17,32
2019-03-24,36
2019-03-31,69
2019-04-07,76
2019-04-14,86
2019-04-21,93
2019-04-28,87
2019-05-05,83
2019-05-12,81
2019-05-19,90
2019-05-26,88
2019-06-02,83
2019-06-09,85
2019-06-16,87
2019-06-23,76
2019-06-30,81
2019-07-07,87
2019-07-14,86
2019-07-21,73
2019-07-28,87
2019-08-04,88
2019-08-11,86
2019-08-18,88
2019-08-25,94
2019-09-01,99
2019-09-08,90
2019-09-15,89
2019-09-22,88
2019-09-29,100
2019-10-06,83
2019-10-13,93
2019-10-20,92
2019-10-27,90
2019-11-03,90
2019-11-10,83
2019-11-17,82
2019-11-24,82
2019-12-01,79
2019-12-08,80
2019-12-15,74
2019-12-22,71
2019-12-29,59
2020-01-05,79
2020-01-12,79
2020-01-19,80
2020-01-26,76
2020-02-02,76
2020-02-09,77
2020-02-16,76
2020-02-23,74
2020-03-01,78
2020-03-08,75
