date,Learning_IE
2018-01-07,79
2018-01-14,82
2018-01-21,71
2018-01-28,86
2018-02-04,73
2018-02-11,87
2018-02-18,92
2018-02-25,67
2018-03-04,93
2018-03-11,83
2018-03-18,61
2018-03-25,76
2018-04-01,70
2018-04-08,85
2018-04-15,84
2018-04-22,85
2018-04-29,78
2018-05-06,80
2018-05-13,74
2018-05-20,63
2018-05-27,60
2018-06-03,43
2018-06-10,65
2018-06-17,51
2018-06-24,72
2018-07-01,83
2018-07-08,56
2018-07-15,55
2018-07-22,63
2018-07-29,51
2018-08-05,64
2018-08-12,65
2018-08-19,85
2018-08-26,80
2018-09-02,78
2018-09-09,74
2018-09-16,73
2018-09-23,82
2018-09-30,78
2018-10-07,72
2018-10-14,65
2018-10-21,71
2018-10-28,66
2018-11-04,100
2018-11-11,65
2018-11-18,95
2018-11-25,82
2018-12-02,97
2018-12-09,73
2018-12-16,65
2018-12-23,42
2018-12-30,51
2019-01-06,80
2019-01-13,79
2019-01-20,83
2019-01-27,75
2019-02-03,81
2019-02-10,90
2019-02-17,72
2019-02-24,73
2019-03-03,86
2019-03-10,84
2019-03-17,69
2019-03-24,79
2019-03-31,85
2019-04-07,70
2019-04-14,68
2019-04-21,61
2019-04-28,67
2019-05-05,72
2019-05-12,73
2019-05-19,82
2019-05-26,74
2019-06-02,50
2019-06-09,69
2019-06-16,75
2019-06-23,80
2019-06-30,65
2019-07-07,64
2019-07-14,64
2019-07-21,42
2019-07-28,51
2019-08-04,46
2019-08-11,49
2019-08-18,62
2019-08-25,86
2019-09-01,82
2019-09-08,68
2019-09-15,77
2019-09-22,97
2019-09-29,83
2019-10-06,84
2019-10-13,75
2019-10-20,71
2019-10-27,65
2019-11-03,82
2019-11-10,82
2019-11-17,73
2019-11-24,88
2019-12-01,68
2019-12-08,65
2019-12-15,54
2019-12-22,30
2019-12-29,51
2020-01-05,79
2020-01-12,82
2020-01-19,74
2020-01-26,77
2020-02-02,79
2020-02-09,72
2020-02-16,66
2020-02-23,71
2020-03-01,84
2020-03-08,71
