date,Music_NZ
2018-01-07,70
2018-01-14,85
2018-01-21,75
2018-01-28,90
2018-02-04,95
2018-02-11,82
2018-02-18,82
2018-02-25,75
2018-03-04,82
2018-03-11,82
2018-03-18,89
2018-03-25,85
2018-04-01,77
2018-04-08,73
2018-04-15,75
2018-04-22,78
2018-04-29,100
2018-05-06,90
2018-05-13,96
2018-05-20,87
2018-05-27,87
2018-06-03,84
2018-06-10,82
2018-06-17,95
2018-06-24,99
2018-07-01,85
2018-07-08,74
2018-07-15,80
2018-07-22,94
2018-07-29,87
2018-08-05,89
2018-08-12,87
2018-08-19,90
2018-08-26,87
2018-09-02,100
2018-09-09,99
2018-09-16,82
2018-09-23,93
2018-09-30,68
2018-10-07,78
2018-10-14,78
2018-10-21,87
2018-10-28,89
2018-11-04,83
2018-11-11,95
2018-11-18,75
2018-11-25,99
2018-12-02,89
2018-12-09,83
2018-12-16,83
2018-12-23,83
2018-12-30,70
2019-01-06,71
2019-01-13,74
2019-01-20,73
2019-01-27,76
2019-02-03,81
2019-02-10,88
2019-02-17,76
2019-02-24,78
2019-03-03,75
2019-03-10,65
2019-03-17,81
2019-03-24,82
2019-03-31,86
2019-04-07,78
2019-04-14,74
2019-04-21,73
2019-04-28,88
2019-05-05,79
2019-05-12,82
2019-05-19,79
2019-05-26,78
2019-06-02,67
2019-06-09,86
2019-06-16,81
2019-06-23,87
2019-06-30,86
2019-07-07,76
2019-07-14,79
2019-07-21,76
2019-07-28,75
2019-08-04,81
2019-08-11,85
2019-08-18,86
2019-08-25,80
2019-09-01,81
2019-09-08,85
2019-09-15,80
2019-09-22,79
2019-09-29,81
2019-10-06,68
2019-10-13,77
2019-10-20,74
2019-10-27,81
2019-11-03,78
2019-11-10,90
2019-11-17,84
2019-11-24,69
2019-12-01,77
2019-12-08,75
2019-12-15,78
2019-12-22,89
2019-12-29,81
2020-01-05,75
2020-01-12,71
2020-01-19,74
2020-01-26,75
2020-02-02,71
2020-02-09,71
2020-02-16,83
2020-02-23,77
2020-03-01,77
2020-03-08,74
