date,Sports_SE
2018-01-07,54
2018-01-14,61
2018-01-21,62
2018-01-28,54
2018-02-04,61
2018-02-11,100
2018-02-18,97
2018-02-25,63
2018-03-04,64
2018-03-11,61
2018-03-18,67
2018-03-25,59
2018-04-01,71
2018-04-08,61
2018-04-15,60
2018-04-22,55
2018-04-29,60
2018-05-06,55
2018-05-13,61
2018-05-20,63
2018-05-27,53
2018-06-03,47
2018-06-10,57
2018-06-17,79
2018-06-24,81
2018-07-01,79
2018-07-08,59
2018-07-15,54
2018-07-22,49
2018-07-29,51
2018-08-05,69
2018-08-12,64
2018-08-19,55
2018-08-26,54
2018-09-02,52
2018-09-09,47
2018-09-16,59
2018-09-23,61
2018-09-30,57
2018-10-07,54
2018-10-14,48
2018-10-21,58
2018-10-28,58
2018-11-04,55
2018-11-11,50
2018-11-18,50
2018-11-25,52
2018-12-02,62
2018-12-09,53
2018-12-16,50
2018-12-23,57
2018-12-30,75
2019-01-06,62
2019-01-13,68
2019-01-20,76
2019-01-27,63
2019-02-03,64
2019-02-10,69
2019-02-17,71
2019-02-24,95
2019-03-03,65
2019-03-10,71
2019-03-17,69
2019-03-24,71
2019-03-31,63
2019-04-07,64
2019-04-14,72
2019-04-21,62
2019-04-28,57
2019-05-05,60
2019-05-12,65
2019-05-19,63
2019-05-26,60
2019-06-02,51
2019-06-09,49
2019-06-16,55
2019-06-23,56
2019-06-30,60
2019-07-07,55
2019-07-14,57
2019-07-21,61
2019-07-28,55
2019-08-04,61
2019-08-11,63
2019-08-18,62
2019-08-25,65
2019-09-01,62
2019-09-08,57
2019-09-15,62
2019-09-22,63
2019-09-29,72
2019-10-06,65
2019-10-13,61
2019-10-20,57
2019-10-27,73
2019-11-03,61
2019-11-10,66
2019-11-17,63
2019-11-24,65
2019-12-01,69
2019-12-08,61
2019-12-15,59
2019-12-22,74
2019-12-29,78
2020-01-05,69
2020-01-12,69
2020-01-19,74
2020-01-26,72
2020-02-02,70
2020-02-09,68
2020-02-16,76
2020-02-23,72
2020-03-01,76
2020-03-08,68
